prompt,clamp_value,word_category,word,token_id,logit_value,baseline_logit,logit_difference,baseline_type,formality,emotion
I think that,0.0,formal_low_emotion,however,2480,-3.915520191192627,-3.915515661239624,-4.5299530029296875e-06,pipeline,formal,low
I think that,0.0,formal_low_emotion,therefore,4320,-4.266674041748047,-4.266677379608154,3.337860107421875e-06,pipeline,formal,low
I think that,0.0,formal_low_emotion,consequently,23995,-5.017656326293945,-5.0176591873168945,2.86102294921875e-06,pipeline,formal,low
I think that,0.0,formal_low_emotion,moreover,541,-2.8419458866119385,-2.8419508934020996,5.0067901611328125e-06,pipeline,formal,low
I think that,0.0,formal_low_emotion,accordingly,17159,-7.259642601013184,-7.259634017944336,-8.58306884765625e-06,pipeline,formal,low
I think that,0.0,formal_low_emotion,furthermore,2134,-3.0227410793304443,-3.0227437019348145,2.6226043701171875e-06,pipeline,formal,low
I think that,0.0,formal_high_emotion,profoundly,29160,-7.63007926940918,-7.630092144012451,1.2874603271484375e-05,pipeline,formal,high
I think that,0.0,formal_high_emotion,devastated,27668,-8.464813232421875,-8.46481704711914,3.814697265625e-06,pipeline,formal,high
I think that,0.0,formal_high_emotion,magnificent,16773,-6.454351902008057,-6.454354286193848,2.384185791015625e-06,pipeline,formal,high
I think that,0.0,formal_high_emotion,appalling,573,-4.783788681030273,-4.783796787261963,8.106231689453125e-06,pipeline,formal,high
I think that,0.0,formal_high_emotion,extraordinary,10035,-4.591480731964111,-4.591492176055908,1.1444091796875e-05,pipeline,formal,high
I think that,0.0,formal_high_emotion,overwhelming,11734,-5.379197120666504,-5.379208087921143,1.0967254638671875e-05,pipeline,formal,high
I think that,0.0,formal_high_emotion,catastrophic,24769,-7.234720230102539,-7.234724044799805,3.814697265625e-06,pipeline,formal,high
I think that,0.0,formal_high_emotion,triumphant,15511,-4.358190536499023,-4.358185768127441,-4.76837158203125e-06,pipeline,formal,high
I think that,0.0,casual_low_emotion,yeah,12191,-5.221868515014648,-5.221872329711914,3.814697265625e-06,pipeline,casual,low
I think that,0.0,casual_low_emotion,okay,10989,-4.088879585266113,-4.08888053894043,9.5367431640625e-07,pipeline,casual,low
I think that,0.0,casual_low_emotion,kinda,21775,-3.786520481109619,-3.7865092754364014,-1.1205673217773438e-05,pipeline,casual,low
I think that,0.0,casual_low_emotion,basically,8087,-4.468184471130371,-4.468190670013428,6.198883056640625e-06,pipeline,casual,low
I think that,0.0,casual_low_emotion,anyway,8668,-1.9663984775543213,-1.9663965702056885,-1.9073486328125e-06,pipeline,casual,low
I think that,0.0,casual_low_emotion,whatever,5193,-1.5782392024993896,-1.578244686126709,5.4836273193359375e-06,pipeline,casual,low
I think that,0.0,casual_low_emotion,guess,5310,-7.4738993644714355,-7.473904132843018,4.76837158203125e-06,pipeline,casual,low
I think that,0.0,casual_low_emotion,stuff,4269,-4.813146591186523,-4.813152313232422,5.7220458984375e-06,pipeline,casual,low
I think that,0.0,casual_high_emotion,OMG,21978,-4.025168418884277,-4.02517032623291,1.9073486328125e-06,pipeline,casual,high
I think that,0.0,casual_high_emotion,totally,7110,-5.0995025634765625,-5.0995025634765625,0.0,pipeline,casual,high
I think that,0.0,casual_high_emotion,literally,8642,-3.734541177749634,-3.7345478534698486,6.67572021484375e-06,pipeline,casual,high
I think that,0.0,casual_high_emotion,seriously,7580,-5.117847442626953,-5.117851734161377,4.291534423828125e-06,pipeline,casual,high
I think that,0.0,casual_high_emotion,honestly,14483,-2.793112277984619,-2.7931108474731445,-1.430511474609375e-06,pipeline,casual,high
I think that,0.0,casual_high_emotion,really,1196,-1.337666630744934,-1.337662696838379,-3.933906555175781e-06,pipeline,casual,high
I think that,0.0,casual_high_emotion,absolutely,6270,-4.670576572418213,-4.670577526092529,9.5367431640625e-07,pipeline,casual,high
I think that,0.0,casual_high_emotion,incredibly,9301,-5.105251789093018,-5.105256080627441,4.291534423828125e-06,pipeline,casual,high
I think that,1.0,formal_low_emotion,perhaps,4153,0.2058122158050537,0.2058122158050537,0.0,pipeline,formal,low
I think that,1.0,formal_low_emotion,may,754,-2.8037004470825195,-2.8037004470825195,0.0,pipeline,formal,low
I think that,1.0,formal_low_emotion,however,2480,-3.915515661239624,-3.915515661239624,0.0,pipeline,formal,low
I think that,1.0,formal_low_emotion,therefore,4320,-4.266677379608154,-4.266677379608154,0.0,pipeline,formal,low
I think that,1.0,formal_low_emotion,consequently,23995,-5.0176591873168945,-5.0176591873168945,0.0,pipeline,formal,low
I think that,1.0,formal_low_emotion,moreover,541,-2.8419508934020996,-2.8419508934020996,0.0,pipeline,formal,low
I think that,1.0,formal_low_emotion,accordingly,17159,-7.259634017944336,-7.259634017944336,0.0,pipeline,formal,low
I think that,1.0,formal_low_emotion,furthermore,2134,-3.0227437019348145,-3.0227437019348145,0.0,pipeline,formal,low
I think that,1.0,formal_high_emotion,profoundly,29160,-7.630092144012451,-7.630092144012451,0.0,pipeline,formal,high
I think that,1.0,formal_high_emotion,devastated,27668,-8.46481704711914,-8.46481704711914,0.0,pipeline,formal,high
I think that,1.0,formal_high_emotion,magnificent,16773,-6.454354286193848,-6.454354286193848,0.0,pipeline,formal,high
I think that,1.0,formal_high_emotion,appalling,573,-4.783796787261963,-4.783796787261963,0.0,pipeline,formal,high
I think that,1.0,formal_high_emotion,extraordinary,10035,-4.591492176055908,-4.591492176055908,0.0,pipeline,formal,high
I think that,1.0,formal_high_emotion,overwhelming,11734,-5.379208087921143,-5.379208087921143,0.0,pipeline,formal,high
I think that,1.0,formal_high_emotion,catastrophic,24769,-7.234724044799805,-7.234724044799805,0.0,pipeline,formal,high
I think that,1.0,formal_high_emotion,triumphant,15511,-4.358185768127441,-4.358185768127441,0.0,pipeline,formal,high
I think that,1.0,casual_low_emotion,yeah,12191,-5.221872329711914,-5.221872329711914,0.0,pipeline,casual,low
I think that,1.0,casual_low_emotion,okay,10989,-4.08888053894043,-4.08888053894043,0.0,pipeline,casual,low
I think that,1.0,casual_low_emotion,kinda,21775,-3.7865092754364014,-3.7865092754364014,0.0,pipeline,casual,low
I think that,1.0,casual_low_emotion,basically,8087,-4.468190670013428,-4.468190670013428,0.0,pipeline,casual,low
I think that,1.0,casual_low_emotion,anyway,8668,-1.9663965702056885,-1.9663965702056885,0.0,pipeline,casual,low
I think that,1.0,casual_low_emotion,whatever,5193,-1.578244686126709,-1.578244686126709,0.0,pipeline,casual,low
I think that,1.0,casual_low_emotion,guess,5310,-7.473904132843018,-7.473904132843018,0.0,pipeline,casual,low
I think that,1.0,casual_low_emotion,stuff,4269,-4.813152313232422,-4.813152313232422,0.0,pipeline,casual,low
I think that,1.0,casual_high_emotion,OMG,21978,-4.02517032623291,-4.02517032623291,0.0,pipeline,casual,high
I think that,1.0,casual_high_emotion,totally,7110,-5.0995025634765625,-5.0995025634765625,0.0,pipeline,casual,high
I think that,1.0,casual_high_emotion,literally,8642,-3.7345478534698486,-3.7345478534698486,0.0,pipeline,casual,high
I think that,1.0,casual_high_emotion,seriously,7580,-5.117851734161377,-5.117851734161377,0.0,pipeline,casual,high
I think that,1.0,casual_high_emotion,honestly,14483,-2.7931108474731445,-2.7931108474731445,0.0,pipeline,casual,high
I think that,1.0,casual_high_emotion,really,1196,-1.337662696838379,-1.337662696838379,0.0,pipeline,casual,high
I think that,1.0,casual_high_emotion,absolutely,6270,-4.670577526092529,-4.670577526092529,0.0,pipeline,casual,high
I think that,1.0,casual_high_emotion,incredibly,9301,-5.105256080627441,-5.105256080627441,0.0,pipeline,casual,high
I think that,4.0,formal_low_emotion,perhaps,4153,0.20581534504890442,0.2058122158050537,3.129243850708008e-06,pipeline,formal,low
I think that,4.0,formal_low_emotion,may,754,-2.803696393966675,-2.8037004470825195,4.0531158447265625e-06,pipeline,formal,low
I think that,4.0,formal_low_emotion,however,2480,-3.9155044555664062,-3.915515661239624,1.1205673217773438e-05,pipeline,formal,low
I think that,4.0,formal_low_emotion,therefore,4320,-4.26668643951416,-4.266677379608154,-9.059906005859375e-06,pipeline,formal,low
I think that,4.0,formal_low_emotion,consequently,23995,-5.017660617828369,-5.0176591873168945,-1.430511474609375e-06,pipeline,formal,low
I think that,4.0,formal_low_emotion,moreover,541,-2.841970443725586,-2.8419508934020996,-1.9550323486328125e-05,pipeline,formal,low
I think that,4.0,formal_low_emotion,accordingly,17159,-7.2596259117126465,-7.259634017944336,8.106231689453125e-06,pipeline,formal,low
I think that,4.0,formal_low_emotion,furthermore,2134,-3.0227537155151367,-3.0227437019348145,-1.0013580322265625e-05,pipeline,formal,low
I think that,4.0,formal_high_emotion,profoundly,29160,-7.630124092102051,-7.630092144012451,-3.1948089599609375e-05,pipeline,formal,high
I think that,4.0,formal_high_emotion,devastated,27668,-8.464826583862305,-8.46481704711914,-9.5367431640625e-06,pipeline,formal,high
I think that,4.0,formal_high_emotion,magnificent,16773,-6.454349040985107,-6.454354286193848,5.245208740234375e-06,pipeline,formal,high
I think that,4.0,formal_high_emotion,appalling,573,-4.783809661865234,-4.783796787261963,-1.2874603271484375e-05,pipeline,formal,high
I think that,4.0,formal_high_emotion,extraordinary,10035,-4.591516494750977,-4.591492176055908,-2.4318695068359375e-05,pipeline,formal,high
I think that,4.0,formal_high_emotion,overwhelming,11734,-5.379247665405273,-5.379208087921143,-3.9577484130859375e-05,pipeline,formal,high
I think that,4.0,formal_high_emotion,catastrophic,24769,-7.234721660614014,-7.234724044799805,2.384185791015625e-06,pipeline,formal,high
I think that,4.0,formal_high_emotion,triumphant,15511,-4.35817813873291,-4.358185768127441,7.62939453125e-06,pipeline,formal,high
I think that,4.0,casual_low_emotion,yeah,12191,-5.221884727478027,-5.221872329711914,-1.239776611328125e-05,pipeline,casual,low
I think that,4.0,casual_low_emotion,okay,10989,-4.088881969451904,-4.08888053894043,-1.430511474609375e-06,pipeline,casual,low
I think that,4.0,casual_low_emotion,kinda,21775,-3.7864785194396973,-3.7865092754364014,3.075599670410156e-05,pipeline,casual,low
I think that,4.0,casual_low_emotion,basically,8087,-4.468201160430908,-4.468190670013428,-1.049041748046875e-05,pipeline,casual,low
I think that,4.0,casual_low_emotion,anyway,8668,-1.9663937091827393,-1.9663965702056885,2.86102294921875e-06,pipeline,casual,low
I think that,4.0,casual_low_emotion,whatever,5193,-1.5782603025436401,-1.578244686126709,-1.5616416931152344e-05,pipeline,casual,low
I think that,4.0,casual_low_emotion,guess,5310,-7.473902225494385,-7.473904132843018,1.9073486328125e-06,pipeline,casual,low
I think that,4.0,casual_low_emotion,stuff,4269,-4.813174247741699,-4.813152313232422,-2.193450927734375e-05,pipeline,casual,low
I think that,4.0,casual_high_emotion,OMG,21978,-4.025184154510498,-4.02517032623291,-1.3828277587890625e-05,pipeline,casual,high
I think that,4.0,casual_high_emotion,totally,7110,-5.099489688873291,-5.0995025634765625,1.2874603271484375e-05,pipeline,casual,high
I think that,4.0,casual_high_emotion,literally,8642,-3.7345588207244873,-3.7345478534698486,-1.0967254638671875e-05,pipeline,casual,high
I think that,4.0,casual_high_emotion,seriously,7580,-5.117854118347168,-5.117851734161377,-2.384185791015625e-06,pipeline,casual,high
I think that,4.0,casual_high_emotion,honestly,14483,-2.7931010723114014,-2.7931108474731445,9.775161743164062e-06,pipeline,casual,high
I think that,4.0,casual_high_emotion,really,1196,-1.3376505374908447,-1.337662696838379,1.2159347534179688e-05,pipeline,casual,high
I think that,4.0,casual_high_emotion,absolutely,6270,-4.6705851554870605,-4.670577526092529,-7.62939453125e-06,pipeline,casual,high
I think that,4.0,casual_high_emotion,incredibly,9301,-5.105268955230713,-5.105256080627441,-1.2874603271484375e-05,pipeline,casual,high
The situation is,-4.0,formal_low_emotion,perhaps,4153,0.45974135398864746,0.45963501930236816,0.00010633468627929688,pipeline,formal,low
The situation is,-4.0,formal_low_emotion,may,754,0.1398150622844696,0.1397370994091034,7.796287536621094e-05,pipeline,formal,low
The situation is,-4.0,formal_low_emotion,however,2480,0.1850162148475647,0.18501636385917664,-1.4901161193847656e-07,pipeline,formal,low
The situation is,-4.0,formal_low_emotion,therefore,4320,-1.030421495437622,-1.0305018424987793,8.034706115722656e-05,pipeline,formal,low
The situation is,-4.0,formal_low_emotion,consequently,23995,-3.9952781200408936,-3.9954416751861572,0.00016355514526367188,pipeline,formal,low
The situation is,-4.0,formal_low_emotion,moreover,541,2.656338691711426,2.6562626361846924,7.605552673339844e-05,pipeline,formal,low
The situation is,-4.0,formal_low_emotion,accordingly,17159,-5.582113265991211,-5.582033157348633,-8.0108642578125e-05,pipeline,formal,low
The situation is,-4.0,formal_low_emotion,furthermore,2134,4.211299896240234,4.211295127868652,4.76837158203125e-06,pipeline,formal,low
The situation is,-4.0,formal_high_emotion,profoundly,29160,-4.748569965362549,-4.748511791229248,-5.817413330078125e-05,pipeline,formal,high
The situation is,-4.0,formal_high_emotion,devastated,27668,-3.7240982055664062,-3.724219799041748,0.00012159347534179688,pipeline,formal,high
The situation is,-4.0,formal_high_emotion,magnificent,16773,-6.0916337966918945,-6.091681957244873,4.8160552978515625e-05,pipeline,formal,high
The situation is,-4.0,formal_high_emotion,appalling,573,-0.3452828526496887,-0.3455497622489929,0.0002669095993041992,pipeline,formal,high
The situation is,-4.0,formal_high_emotion,extraordinary,10035,-0.28882110118865967,-0.2890723943710327,0.0002512931823730469,pipeline,formal,high
The situation is,-4.0,formal_high_emotion,overwhelming,11734,0.33996984362602234,0.3397325277328491,0.00023731589317321777,pipeline,formal,high
The situation is,-4.0,formal_high_emotion,catastrophic,24769,-1.110891580581665,-1.111100673675537,0.0002090930938720703,pipeline,formal,high
The situation is,-4.0,formal_high_emotion,triumphant,15511,-6.298646926879883,-6.298599720001221,-4.7206878662109375e-05,pipeline,formal,high
The situation is,-4.0,casual_low_emotion,yeah,12191,-5.949637413024902,-5.949758529663086,0.00012111663818359375,pipeline,casual,low
The situation is,-4.0,casual_low_emotion,okay,10989,-0.13988757133483887,-0.139857679605484,-2.98917293548584e-05,pipeline,casual,low
The situation is,-4.0,casual_low_emotion,kinda,21775,-1.6276638507843018,-1.6276700496673584,6.198883056640625e-06,pipeline,casual,low
The situation is,-4.0,casual_low_emotion,basically,8087,-1.2644915580749512,-1.2645151615142822,2.3603439331054688e-05,pipeline,casual,low
The situation is,-4.0,casual_low_emotion,anyway,8668,-2.030109405517578,-2.0300707817077637,-3.8623809814453125e-05,pipeline,casual,low
The situation is,-4.0,casual_low_emotion,whatever,5193,-7.1543121337890625,-7.154359340667725,4.7206878662109375e-05,pipeline,casual,low
The situation is,-4.0,casual_low_emotion,guess,5310,-2.4485461711883545,-2.4486775398254395,0.00013136863708496094,pipeline,casual,low
The situation is,-4.0,casual_low_emotion,stuff,4269,-6.041143894195557,-6.041114807128906,-2.9087066650390625e-05,pipeline,casual,low
The situation is,-4.0,casual_high_emotion,OMG,21978,-1.6247856616973877,-1.6249549388885498,0.00016927719116210938,pipeline,casual,high
The situation is,-4.0,casual_high_emotion,totally,7110,1.113660454750061,1.113581657409668,7.87973403930664e-05,pipeline,casual,high
The situation is,-4.0,casual_high_emotion,literally,8642,0.3299342393875122,0.32985711097717285,7.712841033935547e-05,pipeline,casual,high
The situation is,-4.0,casual_high_emotion,seriously,7580,0.1495518684387207,0.1495804488658905,-2.8580427169799805e-05,pipeline,casual,high
The situation is,-4.0,casual_high_emotion,honestly,14483,-1.8232320547103882,-1.8231734037399292,-5.8650970458984375e-05,pipeline,casual,high
The situation is,-4.0,casual_high_emotion,really,1196,3.926934242248535,3.9268295764923096,0.00010466575622558594,pipeline,casual,high
The situation is,-4.0,casual_high_emotion,absolutely,6270,0.9095054864883423,0.9093612432479858,0.0001442432403564453,pipeline,casual,high
The situation is,-4.0,casual_high_emotion,incredibly,9301,1.370661973953247,1.3703346252441406,0.0003273487091064453,pipeline,casual,high
The situation is,0.0,formal_low_emotion,perhaps,4153,0.4596536159515381,0.45963501930236816,1.8596649169921875e-05,pipeline,formal,low
The situation is,0.0,formal_low_emotion,may,754,0.1397530734539032,0.1397370994091034,1.5974044799804688e-05,pipeline,formal,low
The situation is,0.0,formal_low_emotion,however,2480,0.18501076102256775,0.18501636385917664,-5.602836608886719e-06,pipeline,formal,low
The situation is,0.0,formal_low_emotion,therefore,4320,-1.0304861068725586,-1.0305018424987793,1.5735626220703125e-05,pipeline,formal,low
The situation is,0.0,formal_low_emotion,consequently,23995,-3.9954090118408203,-3.9954416751861572,3.266334533691406e-05,pipeline,formal,low
The situation is,0.0,formal_low_emotion,moreover,541,2.6562793254852295,2.6562626361846924,1.6689300537109375e-05,pipeline,formal,low
The situation is,0.0,formal_low_emotion,accordingly,17159,-5.582050323486328,-5.582033157348633,-1.71661376953125e-05,pipeline,formal,low
The situation is,0.0,formal_low_emotion,furthermore,2134,4.211299896240234,4.211295127868652,4.76837158203125e-06,pipeline,formal,low
The situation is,0.0,formal_high_emotion,profoundly,29160,-4.7485222816467285,-4.748511791229248,-1.049041748046875e-05,pipeline,formal,high
The situation is,0.0,formal_high_emotion,devastated,27668,-3.724191665649414,-3.724219799041748,2.8133392333984375e-05,pipeline,formal,high
The situation is,0.0,formal_high_emotion,magnificent,16773,-6.091675281524658,-6.091681957244873,6.67572021484375e-06,pipeline,formal,high
The situation is,0.0,formal_high_emotion,appalling,573,-0.3454951047897339,-0.3455497622489929,5.46574592590332e-05,pipeline,formal,high
The situation is,0.0,formal_high_emotion,extraordinary,10035,-0.28901898860931396,-0.2890723943710327,5.340576171875e-05,pipeline,formal,high
The situation is,0.0,formal_high_emotion,overwhelming,11734,0.3397819995880127,0.3397325277328491,4.947185516357422e-05,pipeline,formal,high
The situation is,0.0,formal_high_emotion,catastrophic,24769,-1.1110541820526123,-1.111100673675537,4.649162292480469e-05,pipeline,formal,high
The situation is,0.0,formal_high_emotion,triumphant,15511,-6.298609733581543,-6.298599720001221,-1.0013580322265625e-05,pipeline,formal,high
The situation is,0.0,casual_low_emotion,yeah,12191,-5.949731349945068,-5.949758529663086,2.7179718017578125e-05,pipeline,casual,low
The situation is,0.0,casual_low_emotion,okay,10989,-0.13986614346504211,-0.139857679605484,-8.463859558105469e-06,pipeline,casual,low
The situation is,0.0,casual_low_emotion,kinda,21775,-1.6276679039001465,-1.6276700496673584,2.1457672119140625e-06,pipeline,casual,low
The situation is,0.0,casual_low_emotion,basically,8087,-1.2645089626312256,-1.2645151615142822,6.198883056640625e-06,pipeline,casual,low
The situation is,0.0,casual_low_emotion,anyway,8668,-2.030076265335083,-2.0300707817077637,-5.4836273193359375e-06,pipeline,casual,low
The situation is,0.0,casual_low_emotion,whatever,5193,-7.154354095458984,-7.154359340667725,5.245208740234375e-06,pipeline,casual,low
The situation is,0.0,casual_low_emotion,guess,5310,-2.448655843734741,-2.4486775398254395,2.1696090698242188e-05,pipeline,casual,low
The situation is,0.0,casual_low_emotion,stuff,4269,-6.0411200523376465,-6.041114807128906,-5.245208740234375e-06,pipeline,casual,low
The situation is,0.0,casual_high_emotion,OMG,21978,-1.6249232292175293,-1.6249549388885498,3.170967102050781e-05,pipeline,casual,high
The situation is,0.0,casual_high_emotion,totally,7110,1.113600492477417,1.113581657409668,1.8835067749023438e-05,pipeline,casual,high
The situation is,0.0,casual_high_emotion,literally,8642,0.3298724889755249,0.32985711097717285,1.537799835205078e-05,pipeline,casual,high
The situation is,0.0,casual_high_emotion,seriously,7580,0.14957553148269653,0.1495804488658905,-4.9173831939697266e-06,pipeline,casual,high
The situation is,0.0,casual_high_emotion,honestly,14483,-1.8231804370880127,-1.8231734037399292,-7.033348083496094e-06,pipeline,casual,high
The situation is,0.0,casual_high_emotion,really,1196,3.926849842071533,3.9268295764923096,2.0265579223632812e-05,pipeline,casual,high
The situation is,0.0,casual_high_emotion,absolutely,6270,0.9093916416168213,0.9093612432479858,3.039836883544922e-05,pipeline,casual,high
The situation is,0.0,casual_high_emotion,incredibly,9301,1.370398998260498,1.3703346252441406,6.437301635742188e-05,pipeline,casual,high
The situation is,1.0,formal_low_emotion,perhaps,4153,0.45963501930236816,0.45963501930236816,0.0,pipeline,formal,low
The situation is,1.0,formal_low_emotion,may,754,0.1397370994091034,0.1397370994091034,0.0,pipeline,formal,low
The situation is,1.0,formal_low_emotion,however,2480,0.18501636385917664,0.18501636385917664,0.0,pipeline,formal,low
The situation is,1.0,formal_low_emotion,therefore,4320,-1.0305018424987793,-1.0305018424987793,0.0,pipeline,formal,low
The situation is,1.0,formal_low_emotion,consequently,23995,-3.9954416751861572,-3.9954416751861572,0.0,pipeline,formal,low
The situation is,1.0,formal_low_emotion,moreover,541,2.6562626361846924,2.6562626361846924,0.0,pipeline,formal,low
The situation is,1.0,formal_low_emotion,accordingly,17159,-5.582033157348633,-5.582033157348633,0.0,pipeline,formal,low
The situation is,1.0,formal_low_emotion,furthermore,2134,4.211295127868652,4.211295127868652,0.0,pipeline,formal,low
The situation is,1.0,formal_high_emotion,profoundly,29160,-4.748511791229248,-4.748511791229248,0.0,pipeline,formal,high
The situation is,1.0,formal_high_emotion,devastated,27668,-3.724219799041748,-3.724219799041748,0.0,pipeline,formal,high
The situation is,1.0,formal_high_emotion,magnificent,16773,-6.091681957244873,-6.091681957244873,0.0,pipeline,formal,high
The situation is,1.0,formal_high_emotion,appalling,573,-0.3455497622489929,-0.3455497622489929,0.0,pipeline,formal,high
The situation is,1.0,formal_high_emotion,extraordinary,10035,-0.2890723943710327,-0.2890723943710327,0.0,pipeline,formal,high
The situation is,1.0,formal_high_emotion,overwhelming,11734,0.3397325277328491,0.3397325277328491,0.0,pipeline,formal,high
The situation is,1.0,formal_high_emotion,catastrophic,24769,-1.111100673675537,-1.111100673675537,0.0,pipeline,formal,high
The situation is,1.0,formal_high_emotion,triumphant,15511,-6.298599720001221,-6.298599720001221,0.0,pipeline,formal,high
The situation is,1.0,casual_low_emotion,yeah,12191,-5.949758529663086,-5.949758529663086,0.0,pipeline,casual,low
The situation is,1.0,casual_low_emotion,okay,10989,-0.139857679605484,-0.139857679605484,0.0,pipeline,casual,low
The situation is,1.0,casual_low_emotion,kinda,21775,-1.6276700496673584,-1.6276700496673584,0.0,pipeline,casual,low
The situation is,1.0,casual_low_emotion,basically,8087,-1.2645151615142822,-1.2645151615142822,0.0,pipeline,casual,low
The situation is,1.0,casual_low_emotion,anyway,8668,-2.0300707817077637,-2.0300707817077637,0.0,pipeline,casual,low
The situation is,1.0,casual_low_emotion,whatever,5193,-7.154359340667725,-7.154359340667725,0.0,pipeline,casual,low
The situation is,1.0,casual_low_emotion,guess,5310,-2.4486775398254395,-2.4486775398254395,0.0,pipeline,casual,low
The situation is,1.0,casual_low_emotion,stuff,4269,-6.041114807128906,-6.041114807128906,0.0,pipeline,casual,low
The situation is,1.0,casual_high_emotion,OMG,21978,-1.6249549388885498,-1.6249549388885498,0.0,pipeline,casual,high
The situation is,1.0,casual_high_emotion,totally,7110,1.113581657409668,1.113581657409668,0.0,pipeline,casual,high
The situation is,1.0,casual_high_emotion,literally,8642,0.32985711097717285,0.32985711097717285,0.0,pipeline,casual,high
The situation is,1.0,casual_high_emotion,seriously,7580,0.1495804488658905,0.1495804488658905,0.0,pipeline,casual,high
The situation is,1.0,casual_high_emotion,honestly,14483,-1.8231734037399292,-1.8231734037399292,0.0,pipeline,casual,high
