prompt,word_category,word,token_id,baseline_logit,mean_difference,std_difference,min_difference,max_difference,range_difference,max_abs_difference,mean_abs_difference,clamping_effect,num_clamp_conditions,target_features
The situation is,formal_high_emotion,catastrophic,24769,-1.111100673675537,-0.07688322067260742,0.1808860882613322,-0.4382290840148926,0.027736425399780273,0.46596550941467285,0.4382290840148926,0.0984084129333496,0.46596550941467285,5,
It seems to me that,casual_high_emotion,totally,7110,-7.296827793121338,-0.07623291015625,0.1792391265759731,-0.43442249298095703,0.021602630615234375,0.4560251235961914,0.43442249298095703,0.09753608703613281,0.4560251235961914,5,
My opinion on this is,casual_high_emotion,absolutely,6270,-0.4787575602531433,-0.07593070268630982,0.17539133436114177,-0.42641782760620117,0.022744834423065186,0.44916266202926636,0.42641782760620117,0.09463642835617066,0.44916266202926636,5,
I think that,casual_high_emotion,honestly,14483,-2.7931108474731445,-0.054144096374511716,0.16466024928930897,-0.38117265701293945,0.06081390380859375,0.4419865608215332,0.38117265701293945,0.09832496643066406,0.4419865608215332,5,
It seems to me that,formal_low_emotion,consequently,23995,-7.577548027038574,-0.07925920486450196,0.1736276342876563,-0.42638397216796875,0.01505136489868164,0.4414353370666504,0.42638397216796875,0.09129438400268555,0.4414353370666504,5,
It seems to me that,casual_low_emotion,kinda,21775,-6.989842414855957,-0.07973918914794922,0.17382527961525993,-0.4273052215576172,0.011406898498535156,0.43871212005615234,0.4273052215576172,0.09118289947509765,0.43871212005615234,5,
I think that,casual_low_emotion,whatever,5193,-1.578244686126709,0.09835333824157715,0.18059399440693605,0.0,0.45927906036376953,0.45927906036376953,0.45927906036376953,0.09835333824157715,-0.438490629196167,5,
It seems to me that,casual_low_emotion,yeah,12191,-6.120282173156738,-0.0671773910522461,0.16768240265000983,-0.4019622802734375,0.031042098999023438,0.43300437927246094,0.4019622802734375,0.09360752105712891,0.43300437927246094,5,
It seems to me that,formal_high_emotion,catastrophic,24769,-7.815947532653809,-0.0674626350402832,0.16625315112934222,-0.3993339538574219,0.032414913177490234,0.4317488670349121,0.3993339538574219,0.09227094650268555,0.4317488670349121,5,
The situation is,casual_low_emotion,kinda,21775,-1.6276700496673584,-0.07973356246948242,0.16950734768311002,-0.41864895820617676,0.012484312057495117,0.4311332702636719,0.41864895820617676,0.08772602081298828,0.4311332702636719,5,
The situation is,casual_high_emotion,literally,8642,0.32985711097717285,-0.07106657028198242,0.16486811099984647,-0.40048909187316895,0.0227353572845459,0.42322444915771484,0.40048909187316895,0.08912906646728516,0.42322444915771484,5,
The best approach would be,formal_low_emotion,furthermore,2134,-3.8751513957977295,-0.07837529182434082,0.16790463308304435,-0.41413235664367676,0.008720874786376953,0.4228532314300537,0.41413235664367676,0.08727765083312988,0.4228532314300537,5,
My opinion on this is,formal_low_emotion,therefore,4320,-1.493159532546997,-0.0778357744216919,0.1675126195996395,-0.41279780864715576,0.009945869445800781,0.42274367809295654,0.41279780864715576,0.08728334903717042,0.42274367809295654,5,
I think that,formal_low_emotion,however,2480,-3.915515661239624,0.09332871437072754,0.17191740944488465,0.0,0.4368124008178711,0.4368124008178711,0.4368124008178711,0.09332871437072754,-0.4145529270172119,5,
It seems to me that,formal_high_emotion,devastated,27668,-11.011892318725586,-0.06591205596923828,0.1487324365999346,-0.36318111419677734,0.017059326171875,0.38024044036865234,0.36318111419677734,0.07936038970947265,0.38024044036865234,5,
The best approach would be,casual_low_emotion,kinda,21775,-4.753157615661621,-0.06891355514526368,0.14904293350669684,-0.366912841796875,0.011355876922607422,0.3782687187194824,0.366912841796875,0.07785158157348633,0.3782687187194824,5,
The best approach would be,casual_low_emotion,yeah,12191,-6.400968074798584,-0.066082763671875,0.1448148146229059,-0.35555601119995117,0.014732837677001953,0.3702888488769531,0.35555601119995117,0.07613964080810547,0.3702888488769531,5,
The best approach would be,formal_high_emotion,profoundly,29160,-12.648835182189941,-0.06678905487060546,0.143517053852742,-0.3537607192993164,0.009443283081054688,0.3632040023803711,0.3537607192993164,0.0747152328491211,0.3632040023803711,5,
My opinion on this is,casual_low_emotion,yeah,12191,-1.9917230606079102,-0.05870764255523682,0.13944333852164115,-0.33722615242004395,0.022623658180236816,0.35984981060028076,0.33722615242004395,0.07618281841278077,0.35984981060028076,5,
The situation is,formal_high_emotion,devastated,27668,-3.724219799041748,-0.06201992034912109,0.13973157662777708,-0.34129810333251953,0.016060829162597656,0.3573589324951172,0.34129810333251953,0.07449932098388672,0.3573589324951172,5,
The best approach would be,formal_low_emotion,therefore,4320,-4.262266635894775,-0.05426654815673828,0.13492260217294866,-0.32360410690307617,0.026158809661865234,0.3497629165649414,0.32360410690307617,0.07517509460449219,0.3497629165649414,5,
I think that,formal_low_emotion,furthermore,2134,-3.0227437019348145,0.07012863159179687,0.1399736074380232,-6.699562072753906e-05,0.35007524490356445,0.350142240524292,0.35007524490356445,0.0701822280883789,-0.34937334060668945,5,
I think that,formal_high_emotion,appalling,573,-4.783796787261963,0.08110370635986328,0.14524173152314684,0.0,0.3711872100830078,0.3711872100830078,0.3711872100830078,0.08110370635986328,-0.34842872619628906,5,
The best approach would be,casual_high_emotion,honestly,14483,-3.365665912628174,-0.04885807037353516,0.1300959082939793,-0.3080158233642578,0.03613901138305664,0.34415483474731445,0.3080158233642578,0.07434825897216797,0.34415483474731445,5,
It seems to me that,formal_low_emotion,perhaps,4153,-2.021848440170288,-0.062100553512573244,0.13521120941020362,-0.3324406147003174,0.010533809661865234,0.3429744243621826,0.3324406147003174,0.07087569236755371,0.3429744243621826,5,
I think that,casual_high_emotion,really,1196,-1.337662696838379,-0.05156755447387695,0.12920910132483315,-0.3090008497238159,0.03372657299041748,0.3427274227142334,0.3090008497238159,0.07203278541564942,0.3427274227142334,5,
The situation is,casual_high_emotion,really,1196,3.9268295764923096,-0.059182024002075194,0.1319128395528529,-0.32285356521606445,0.01421809196472168,0.33707165718078613,0.32285356521606445,0.06995940208435059,0.33707165718078613,5,
It seems to me that,casual_high_emotion,OMG,21978,-5.621413230895996,-0.05799570083618164,0.13094412231925084,-0.31969785690307617,0.015574455261230469,0.33527231216430664,0.31969785690307617,0.06988344192504883,0.33527231216430664,5,
I think that,formal_high_emotion,profoundly,29160,-7.630092144012451,0.0785141944885254,0.14078891595992318,0.0,0.3594646453857422,0.3594646453857422,0.3594646453857422,0.0785141944885254,-0.333158016204834,5,
It seems to me that,casual_high_emotion,literally,8642,-6.132267951965332,-0.04300994873046875,0.12594135469445444,-0.29380035400390625,0.036881446838378906,0.33068180084228516,0.29380035400390625,0.07451019287109376,0.33068180084228516,5,
The best approach would be,casual_high_emotion,absolutely,6270,-4.405916213989258,-0.05310840606689453,0.12875358823915176,-0.31032562255859375,0.01852703094482422,0.32885265350341797,0.31032562255859375,0.07102184295654297,0.32885265350341797,5,
The situation is,casual_high_emotion,incredibly,9301,1.3703346252441406,-0.05628509521484375,0.12753150274300343,-0.3111886978149414,0.014225482940673828,0.32541418075561523,0.3111886978149414,0.06819038391113282,0.32541418075561523,5,
My opinion on this is,formal_high_emotion,extraordinary,10035,-6.540251731872559,0.0726017951965332,0.1303019087601834,0.0,0.3330421447753906,0.3330421447753906,0.3330421447753906,0.0726017951965332,-0.31846094131469727,5,
The situation is,formal_low_emotion,may,754,0.1397370994091034,-0.05758057832717896,0.12302161574565876,-0.3034032881259918,0.013944119215011597,0.3173474073410034,0.3034032881259918,0.06378073692321777,0.3173474073410034,5,
The situation is,formal_high_emotion,overwhelming,11734,0.3397325277328491,-0.049448296427726746,0.12073645203620323,-0.2905534952878952,0.021044433116912842,0.31159792840480804,0.2905534952878952,0.06677310168743134,0.31159792840480804,5,
It seems to me that,formal_high_emotion,extraordinary,10035,-6.20956563949585,-0.050443172454833984,0.11901181553749099,-0.2882218360900879,0.017012596130371094,0.305234432220459,0.2882218360900879,0.06484556198120117,0.305234432220459,5,
The situation is,casual_high_emotion,totally,7110,1.113581657409668,-0.04835236072540283,0.1183231948416627,-0.28470373153686523,0.01803433895111084,0.3027380704879761,0.28470373153686523,0.06552913188934326,0.3027380704879761,5,
I think that,casual_high_emotion,incredibly,9301,-5.105256080627441,0.07610149383544922,0.12621605189460658,0.0,0.3275289535522461,0.3275289535522461,0.3275289535522461,0.07610149383544922,-0.2935628890991211,5,
The best approach would be,formal_high_emotion,devastated,27668,-11.786552429199219,-0.06041088104248047,0.11715759786592987,-0.29470252990722656,0.0,0.29470252990722656,0.29470252990722656,0.06041088104248047,0.2897634506225586,5,
The best approach would be,formal_low_emotion,accordingly,17159,-7.918730735778809,-0.032602691650390626,0.10653891032608677,-0.2437582015991211,0.044730186462402344,0.28848838806152344,0.2437582015991211,0.06490058898925781,0.28848838806152344,5,
The best approach would be,casual_high_emotion,seriously,7580,-7.173571586608887,-0.043154430389404294,0.10988775201329078,-0.26239442825317383,0.024209976196289062,0.2866044044494629,0.26239442825317383,0.061803340911865234,0.2866044044494629,5,
My opinion on this is,casual_low_emotion,basically,8087,3.003045082092285,-0.032037973403930664,0.10257788125536706,-0.23527002334594727,0.04350686073303223,0.2787768840789795,0.23527002334594727,0.062070035934448244,0.2787768840789795,5,
It seems to me that,formal_low_emotion,accordingly,17159,-9.591421127319336,-0.0387481689453125,0.10530485025469094,-0.2485208511352539,0.02950763702392578,0.2780284881591797,0.2485208511352539,0.060660171508789065,0.2780284881591797,5,
The best approach would be,casual_low_emotion,anyway,8668,-3.9833431243896484,-0.04432034492492676,0.10609118950766983,-0.25617170333862305,0.018635034561157227,0.2748067378997803,0.25617170333862305,0.05814833641052246,0.2748067378997803,5,
The situation is,casual_low_emotion,whatever,5193,-7.154359340667725,0.04759960174560547,0.10693518597340299,-0.012623786926269531,0.2613191604614258,0.2739429473876953,0.2613191604614258,0.056928062438964845,-0.2739429473876953,5,
The best approach would be,casual_high_emotion,totally,7110,-3.8732125759124756,-0.04947595596313477,0.10746527232745719,-0.26435112953186035,0.0076143741607666016,0.27196550369262695,0.26435112953186035,0.056264495849609374,0.27196550369262695,5,
The best approach would be,formal_low_emotion,perhaps,4153,-2.6340599060058594,0.06516156196594239,0.11140351465194981,0.0,0.2875072956085205,0.2875072956085205,0.2875072956085205,0.06516156196594239,-0.2652733325958252,5,
It seems to me that,formal_high_emotion,profoundly,29160,-8.294178009033203,-0.042570877075195315,0.1018075114751523,-0.2458343505859375,0.018659591674804688,0.2644939422607422,0.2458343505859375,0.055762863159179686,0.2644939422607422,5,
It seems to me that,casual_low_emotion,whatever,5193,-1.9221572875976562,-0.040148687362670896,0.09489655487668416,-0.22972869873046875,0.014210939407348633,0.24393963813781738,0.22972869873046875,0.0517427921295166,0.24393963813781738,5,
The best approach would be,formal_low_emotion,may,754,-5.634313583374023,0.06089038848876953,0.10358642461114236,0.0,0.26734447479248047,0.26734447479248047,0.26734447479248047,0.06089038848876953,-0.24188899993896484,5,
It seems to me that,casual_low_emotion,stuff,4269,-6.969966888427734,-0.0332036018371582,0.09001525493969462,-0.2125701904296875,0.02437448501586914,0.23694467544555664,0.2125701904296875,0.0518244743347168,0.23694467544555664,5,
My opinion on this is,casual_low_emotion,anyway,8668,-0.7723385691642761,-0.031101644039154053,0.08665329517297823,-0.20321208238601685,0.030662178993225098,0.23387426137924194,0.20321208238601685,0.05018318891525268,0.23387426137924194,5,
My opinion on this is,formal_low_emotion,consequently,23995,-5.66140079498291,-0.03351650238037109,0.08869589091133621,-0.21040821075439453,0.02103900909423828,0.2314472198486328,0.21040821075439453,0.05064678192138672,0.2314472198486328,5,
The situation is,casual_low_emotion,stuff,4269,-6.041114807128906,-0.03731203079223633,0.08994009022615983,-0.21698379516601562,0.013461589813232422,0.23044538497924805,0.21698379516601562,0.04948148727416992,0.23044538497924805,5,
My opinion on this is,formal_high_emotion,overwhelming,11734,-2.524343252182007,0.05964736938476563,0.09748607880759146,0.0,0.2539398670196533,0.2539398670196533,0.2539398670196533,0.05964736938476563,-0.22861671447753906,5,
It seems to me that,formal_low_emotion,may,754,-4.966970920562744,-0.04115514755249024,0.08858912385032013,-0.2182321548461914,0.008763790130615234,0.22699594497680664,0.2182321548461914,0.04613771438598633,0.22699594497680664,5,
The best approach would be,formal_high_emotion,overwhelming,11734,-5.396991729736328,0.037752819061279294,0.08735926900646529,-0.012729644775390625,0.21228361129760742,0.22501325607299805,0.21228361129760742,0.04716062545776367,-0.22501325607299805,5,
My opinion on this is,formal_high_emotion,appalling,573,-2.1583240032196045,-0.03136253356933594,0.0835016234052424,-0.19789791107177734,0.01971721649169922,0.21761512756347656,0.19789791107177734,0.047796630859375,0.21761512756347656,5,
The best approach would be,casual_low_emotion,stuff,4269,-6.817241668701172,-0.028175544738769532,0.08146378103631964,-0.19030380249023438,0.02546405792236328,0.21576786041259766,0.19030380249023438,0.04794597625732422,0.21576786041259766,5,
It seems to me that,formal_low_emotion,furthermore,2134,-5.53042459487915,-0.04386835098266602,0.08578835366500952,-0.21539878845214844,0.0004439353942871094,0.21584272384643555,0.21539878845214844,0.0442234992980957,0.21056795120239258,5,
I think that,formal_high_emotion,devastated,27668,-8.46481704711914,0.04976596832275391,0.08737107427072317,0.0,0.22387313842773438,0.22387313842773438,0.22387313842773438,0.04976596832275391,-0.2033071517944336,5,
My opinion on this is,formal_high_emotion,catastrophic,24769,-8.417057991027832,-0.02747936248779297,0.07706203436971115,-0.18097305297851562,0.02201557159423828,0.2029886245727539,0.18097305297851562,0.04490985870361328,0.2029886245727539,5,
The situation is,formal_high_emotion,profoundly,29160,-4.748511791229248,-0.02985544204711914,0.07788229071799317,-0.1852421760559082,0.017098426818847656,0.20234060287475586,0.1852421760559082,0.04424142837524414,0.20234060287475586,5,
It seems to me that,casual_high_emotion,absolutely,6270,-6.861181259155273,-0.018329143524169922,0.07442355450054611,-0.16569280624389648,0.03252887725830078,0.19822168350219727,0.16569280624389648,0.04794797897338867,0.19822168350219727,5,
The situation is,casual_low_emotion,anyway,8668,-2.0300707817077637,-0.03155946731567383,0.07568162399454682,-0.18264150619506836,0.014329910278320312,0.19697141647338867,0.18264150619506836,0.04149713516235352,0.19697141647338867,5,
The situation is,casual_low_emotion,basically,8087,-1.2645151615142822,-0.024540233612060546,0.07348198362095208,-0.17057514190673828,0.02593374252319336,0.19650888442993164,0.17057514190673828,0.043689823150634764,0.19650888442993164,5,
I think that,casual_low_emotion,kinda,21775,-3.7865092754364014,0.039280366897583005,0.07969240043561138,-0.0023512840270996094,0.1986250877380371,0.20097637176513672,0.1986250877380371,0.041161394119262694,-0.19614577293395996,5,
I think that,casual_high_emotion,absolutely,6270,-4.670577526092529,-0.0116119384765625,0.06998097502631273,-0.14850282669067383,0.04608774185180664,0.19459056854248047,0.14850282669067383,0.04778919219970703,0.19459056854248047,5,
The situation is,casual_high_emotion,honestly,14483,-1.8231734037399292,-0.02501065731048584,0.07481713495941437,-0.17404568195343018,0.020305633544921875,0.19435131549835205,0.17404568195343018,0.04460761547088623,0.19435131549835205,5,
The situation is,casual_high_emotion,OMG,21978,-1.6249549388885498,-0.0314974308013916,0.07435570593224988,-0.1799161434173584,0.014149188995361328,0.19406533241271973,0.1799161434173584,0.040469026565551756,0.19406533241271973,5,
It seems to me that,formal_high_emotion,overwhelming,11734,-7.026409149169922,-0.031012630462646483,0.07431153024052745,-0.17943048477172852,0.012342453002929688,0.1917729377746582,0.17943048477172852,0.04075956344604492,0.1917729377746582,5,
My opinion on this is,casual_high_emotion,seriously,7580,-0.6703555583953857,0.053328299522399904,0.0805821095046277,0.0,0.2132207155227661,0.2132207155227661,0.2132207155227661,0.053328299522399904,-0.18193328380584717,5,
It seems to me that,formal_high_emotion,appalling,573,-4.520817756652832,-0.025046539306640626,0.06702600330542617,-0.1586475372314453,0.017348289489746094,0.1759958267211914,0.1586475372314453,0.0384124755859375,0.1759958267211914,5,
The best approach would be,formal_high_emotion,magnificent,16773,-10.788664817810059,-0.03433647155761719,0.07085582954085953,-0.1759347915649414,0.003954887390136719,0.17988967895507812,0.1759347915649414,0.03750038146972656,0.17227745056152344,5,
My opinion on this is,casual_low_emotion,whatever,5193,-0.5858461856842041,-0.03127036094665527,0.06465457042881262,-0.16045880317687988,0.006375312805175781,0.16683411598205566,0.16045880317687988,0.033820486068725585,0.16683411598205566,5,
I think that,casual_high_emotion,OMG,21978,-4.02517032623291,0.05031538009643555,0.07576468603299341,0.0,0.20019245147705078,0.20019245147705078,0.20019245147705078,0.05031538009643555,-0.16668367385864258,5,
My opinion on this is,formal_low_emotion,accordingly,17159,-5.066076278686523,-0.011000728607177735,0.05836063129296164,-0.12499332427978516,0.03921937942504883,0.16421270370483398,0.12499332427978516,0.03899660110473633,0.16421270370483398,5,
It seems to me that,casual_high_emotion,really,1196,-4.76451301574707,-0.02222604751586914,0.06000240927180876,-0.14177942276000977,0.01637554168701172,0.15815496444702148,0.14177942276000977,0.03448572158813477,0.15815496444702148,5,
The best approach would be,casual_low_emotion,guess,5310,-8.073022842407227,0.020064067840576173,0.05859296051222431,-0.020906448364257812,0.1364741325378418,0.1573805809020996,0.1364741325378418,0.034525585174560544,-0.1573805809020996,5,
The best approach would be,formal_low_emotion,consequently,23995,-8.180360794067383,-0.01761322021484375,0.05784096869994211,-0.1324148178100586,0.02251720428466797,0.15493202209472656,0.1324148178100586,0.03535270690917969,0.15493202209472656,5,
I think that,formal_low_emotion,accordingly,17159,-7.259634017944336,0.055463981628417966,0.0751386281011942,0.0,0.20233726501464844,0.20233726501464844,0.20233726501464844,0.055463981628417966,-0.15430927276611328,5,
The situation is,formal_low_emotion,moreover,541,2.6562626361846924,-0.022753381729125978,0.057709056445171866,-0.13773298263549805,0.015219449996948242,0.1529524326324463,0.13773298263549805,0.03233981132507324,0.1529524326324463,5,
My opinion on this is,casual_low_emotion,stuff,4269,-4.390328407287598,0.04733419418334961,0.06844892522153831,0.0,0.1827564239501953,0.1827564239501953,0.1827564239501953,0.04733419418334961,-0.15161752700805664,5,
It seems to me that,casual_high_emotion,seriously,7580,-7.758991241455078,-0.011347007751464844,0.05395844023178624,-0.11706066131591797,0.03389453887939453,0.1509552001953125,0.11706066131591797,0.03547725677490234,0.1509552001953125,5,
It seems to me that,casual_low_emotion,guess,5310,-10.813848495483398,-0.02414569854736328,0.0579864781735083,-0.13997173309326172,0.00920867919921875,0.14918041229248047,0.13997173309326172,0.03184299468994141,0.14918041229248047,5,
I think that,casual_high_emotion,seriously,7580,-5.117851734161377,0.05766916275024414,0.07453644701780564,0.0,0.20179319381713867,0.20179319381713867,0.20179319381713867,0.05766916275024414,-0.14478254318237305,5,
I think that,casual_high_emotion,literally,8642,-3.7345478534698486,0.05493927001953125,0.06898792971220098,0.0,0.18959403038024902,0.18959403038024902,0.18959403038024902,0.05493927001953125,-0.14246034622192383,5,
I think that,formal_high_emotion,extraordinary,10035,-4.591492176055908,0.039596939086914064,0.05965060355561155,0.0,0.15824556350708008,0.15824556350708008,0.15824556350708008,0.039596939086914064,-0.13854408264160156,5,
My opinion on this is,formal_high_emotion,magnificent,16773,-7.636904239654541,-0.020356464385986327,0.05377711539862119,-0.1276850700378418,0.010402679443359375,0.13808774948120117,0.1276850700378418,0.03071756362915039,0.13808774948120117,5,
The best approach would be,casual_high_emotion,OMG,21978,-6.210175037384033,-0.014843273162841796,0.049221213888017964,-0.11169815063476562,0.025922298431396484,0.1376204490661621,0.11169815063476562,0.029835987091064452,0.1376204490661621,5,
The best approach would be,formal_high_emotion,appalling,573,-4.261016368865967,-0.016794967651367187,0.051061383846287334,-0.11840248107910156,0.016126632690429688,0.13452911376953125,0.11840248107910156,0.030566024780273437,0.13452911376953125,5,
My opinion on this is,casual_high_emotion,really,1196,3.1145431995391846,-0.014389991760253906,0.04703592151698023,-0.10727477073669434,0.022527456283569336,0.12980222702026367,0.10727477073669434,0.028519916534423827,0.12980222702026367,5,
It seems to me that,formal_low_emotion,moreover,541,-2.210540771484375,-0.01807060241699219,0.049072957444896724,-0.11584234237670898,0.013495922088623047,0.12933826446533203,0.11584234237670898,0.028266334533691408,0.12933826446533203,5,
It seems to me that,casual_high_emotion,incredibly,9301,-6.716452598571777,-0.018251323699951173,0.04855254948021925,-0.11503171920776367,0.012514114379882812,0.12754583358764648,0.11503171920776367,0.027761363983154298,0.12754583358764648,5,
I think that,formal_low_emotion,therefore,4320,-4.266677379608154,-0.004369544982910156,0.04345269577696187,-0.08732175827026367,0.03975248336791992,0.1270742416381836,0.08732175827026367,0.03055915832519531,0.1270742416381836,5,
It seems to me that,casual_low_emotion,basically,8087,-7.1929497718811035,-0.007011604309082031,0.044895099932686866,-0.09465742111206055,0.03080892562866211,0.12546634674072266,0.09465742111206055,0.030851364135742188,0.12546634674072266,5,
I think that,formal_high_emotion,catastrophic,24769,-7.234724044799805,-0.0007152557373046875,0.041973904000988174,-0.08043479919433594,0.04138374328613281,0.12181854248046875,0.08043479919433594,0.03145866394042969,0.12181854248046875,5,
I think that,formal_low_emotion,perhaps,4153,0.2058122158050537,-0.00651477575302124,0.041810341106613254,-0.08758074045181274,0.03184521198272705,0.1194259524345398,0.08758074045181274,0.028517520427703856,0.1194259524345398,5,
The situation is,formal_high_emotion,extraordinary,10035,-0.2890723943710327,-0.014503967761993409,0.043574186519351264,-0.10130321979522705,0.01173466444015503,0.11303788423538208,0.10130321979522705,0.026017320156097413,0.11303788423538208,5,
I think that,formal_high_emotion,triumphant,15511,-4.358185768127441,0.04333915710449219,0.05401732283149906,0.0,0.14860105514526367,0.14860105514526367,0.14860105514526367,0.04333915710449219,-0.110565185546875,5,
The best approach would be,casual_low_emotion,okay,10989,-6.896812438964844,0.033231067657470706,0.04886039134059141,0.0,0.13007068634033203,0.13007068634033203,0.13007068634033203,0.033231067657470706,-0.10964441299438477,5,
I think that,formal_low_emotion,moreover,541,-2.8419508934020996,0.03330225944519043,0.04869219137087874,0.0,0.12940239906311035,0.12940239906311035,0.12940239906311035,0.03330225944519043,-0.1056063175201416,5,
The best approach would be,casual_low_emotion,whatever,5193,-3.5527169704437256,0.025607538223266602,0.043315186245379306,0.0,0.11211967468261719,0.11211967468261719,0.11211967468261719,0.025607538223266602,-0.1050865650177002,5,
My opinion on this is,casual_low_emotion,guess,5310,-0.9407533407211304,-0.002587628364562988,0.03601057429345238,-0.07215821743011475,0.029451608657836914,0.10160982608795166,0.07215821743011475,0.02627565860748291,0.10160982608795166,5,
My opinion on this is,formal_high_emotion,triumphant,15511,-7.073696136474609,0.020577526092529295,0.03857067514816071,0.0,0.09770727157592773,0.09770727157592773,0.09770727157592773,0.020577526092529295,-0.09594869613647461,5,
My opinion on this is,formal_low_emotion,however,2480,0.27894127368927,0.02752540111541748,0.042597734974163706,0.0,0.1118617057800293,0.1118617057800293,0.1118617057800293,0.02752540111541748,-0.09408092498779297,5,
It seems to me that,casual_low_emotion,okay,10989,-6.564785957336426,-0.008211135864257812,0.0345455490048191,-0.07652950286865234,0.016134262084960938,0.09266376495361328,0.07652950286865234,0.022400665283203124,0.09266376495361328,5,
The situation is,formal_low_emotion,perhaps,4153,0.45963501930236816,-0.013951659202575684,0.03519674525723509,-0.08415913581848145,0.008005499839782715,0.09216463565826416,0.08415913581848145,0.019711995124816896,0.09216463565826416,5,
The best approach would be,casual_high_emotion,really,1196,-2.4605941772460938,-0.00409393310546875,0.03174253331290682,-0.06521272659301758,0.026511192321777344,0.09172391891479492,0.06521272659301758,0.021991157531738283,0.09172391891479492,5,
The situation is,casual_high_emotion,seriously,7580,0.1495804488658905,-0.014637160301208495,0.03316905696445264,-0.08072873950004578,0.007418006658554077,0.08814674615859985,0.08072873950004578,0.017654335498809813,0.08814674615859985,5,
The best approach would be,formal_low_emotion,however,2480,-4.395817756652832,0.025031089782714844,0.03822772709937952,0.0,0.1010279655456543,0.1010279655456543,0.1010279655456543,0.025031089782714844,-0.08789443969726562,5,
My opinion on this is,casual_high_emotion,incredibly,9301,-2.0418953895568848,-0.00899362564086914,0.03217570260677478,-0.07288265228271484,0.011779308319091797,0.08466196060180664,0.07288265228271484,0.020159435272216798,0.08466196060180664,5,
My opinion on this is,formal_low_emotion,moreover,541,2.185621976852417,-0.004418802261352539,0.0278833030089285,-0.05861663818359375,0.02051997184753418,0.07913661003112793,0.05861663818359375,0.019027853012084962,0.07913661003112793,5,
