prompt,clamp_value,word_category,word,token_id,logit_value,target_features
I think that,-15.0,casual_high_emotion,literally,8642,-3.5449538230895996,[2020]
I think that,-15.0,casual_high_emotion,seriously,7580,-4.916058540344238,[2020]
I think that,-15.0,casual_high_emotion,honestly,14483,-3.174283504486084,[2020]
I think that,-15.0,casual_high_emotion,really,1196,-1.6466635465621948,[2020]
I think that,-15.0,casual_high_emotion,absolutely,6270,-4.819080352783203,[2020]
I think that,-15.0,casual_high_emotion,incredibly,9301,-4.777727127075195,[2020]
I think that,4.0,formal_low_emotion,perhaps,4153,0.21739304065704346,[2020]
I think that,4.0,formal_low_emotion,may,754,-2.801514148712158,[2020]
I think that,4.0,formal_low_emotion,however,2480,-3.9117298126220703,[2020]
I think that,4.0,formal_low_emotion,therefore,4320,-4.253816604614258,[2020]
I think that,4.0,formal_low_emotion,consequently,23995,-5.006518363952637,[2020]
I think that,4.0,formal_low_emotion,moreover,541,-2.835294485092163,[2020]
I think that,4.0,formal_low_emotion,accordingly,17159,-7.246156692504883,[2020]
I think that,4.0,formal_low_emotion,furthermore,2134,-3.022810697555542,[2020]
I think that,4.0,formal_high_emotion,profoundly,29160,-7.626692295074463,[2020]
I think that,4.0,formal_high_emotion,devastated,27668,-8.462621688842773,[2020]
I think that,4.0,formal_high_emotion,magnificent,16773,-6.43171501159668,[2020]
I think that,4.0,formal_high_emotion,appalling,573,-4.778010368347168,[2020]
I think that,4.0,formal_high_emotion,extraordinary,10035,-4.581473350524902,[2020]
I think that,4.0,formal_high_emotion,overwhelming,11734,-5.371899604797363,[2020]
I think that,4.0,formal_high_emotion,catastrophic,24769,-7.216986656188965,[2020]
I think that,4.0,formal_high_emotion,triumphant,15511,-4.343156337738037,[2020]
I think that,4.0,casual_low_emotion,yeah,12191,-5.198729515075684,[2020]
I think that,4.0,casual_low_emotion,okay,10989,-4.0797600746154785,[2020]
I think that,4.0,casual_low_emotion,kinda,21775,-3.788860559463501,[2020]
I think that,4.0,casual_low_emotion,basically,8087,-4.45120906829834,[2020]
I think that,4.0,casual_low_emotion,anyway,8668,-1.9478068351745605,[2020]
I think that,4.0,casual_low_emotion,whatever,5193,-1.5723950862884521,[2020]
I think that,4.0,casual_low_emotion,guess,5310,-7.458146095275879,[2020]
I think that,4.0,casual_low_emotion,stuff,4269,-4.792599678039551,[2020]
I think that,4.0,casual_high_emotion,OMG,21978,-4.016232490539551,[2020]
I think that,4.0,casual_high_emotion,totally,7110,-5.083097457885742,[2020]
I think that,4.0,casual_high_emotion,literally,8642,-3.7155635356903076,[2020]
I think that,4.0,casual_high_emotion,seriously,7580,-5.103080749511719,[2020]
I think that,4.0,casual_high_emotion,honestly,14483,-2.768291711807251,[2020]
I think that,4.0,casual_high_emotion,really,1196,-1.328944444656372,[2020]
I think that,4.0,casual_high_emotion,absolutely,6270,-4.648399829864502,[2020]
I think that,4.0,casual_high_emotion,incredibly,9301,-5.095749855041504,[2020]
I think that,1.0,formal_low_emotion,perhaps,4153,0.2058122158050537,[2020]
I think that,1.0,formal_low_emotion,may,754,-2.8037004470825195,[2020]
I think that,1.0,formal_low_emotion,however,2480,-3.915515661239624,[2020]
I think that,1.0,formal_low_emotion,therefore,4320,-4.266677379608154,[2020]
I think that,1.0,formal_low_emotion,consequently,23995,-5.0176591873168945,[2020]
I think that,1.0,formal_low_emotion,moreover,541,-2.8419508934020996,[2020]
I think that,1.0,formal_low_emotion,accordingly,17159,-7.259634017944336,[2020]
I think that,1.0,formal_low_emotion,furthermore,2134,-3.0227437019348145,[2020]
I think that,1.0,formal_high_emotion,profoundly,29160,-7.630092144012451,[2020]
I think that,1.0,formal_high_emotion,devastated,27668,-8.46481704711914,[2020]
I think that,1.0,formal_high_emotion,magnificent,16773,-6.454354286193848,[2020]
I think that,1.0,formal_high_emotion,appalling,573,-4.783796787261963,[2020]
I think that,1.0,formal_high_emotion,extraordinary,10035,-4.591492176055908,[2020]
I think that,1.0,formal_high_emotion,overwhelming,11734,-5.379208087921143,[2020]
I think that,1.0,formal_high_emotion,catastrophic,24769,-7.234724044799805,[2020]
I think that,1.0,formal_high_emotion,triumphant,15511,-4.358185768127441,[2020]
I think that,1.0,casual_low_emotion,yeah,12191,-5.221872329711914,[2020]
I think that,1.0,casual_low_emotion,okay,10989,-4.08888053894043,[2020]
I think that,1.0,casual_low_emotion,kinda,21775,-3.7865092754364014,[2020]
I think that,1.0,casual_low_emotion,basically,8087,-4.468190670013428,[2020]
I think that,1.0,casual_low_emotion,anyway,8668,-1.9663965702056885,[2020]
I think that,1.0,casual_low_emotion,whatever,5193,-1.578244686126709,[2020]
I think that,1.0,casual_low_emotion,guess,5310,-7.473904132843018,[2020]
I think that,1.0,casual_low_emotion,stuff,4269,-4.813152313232422,[2020]
I think that,1.0,casual_high_emotion,OMG,21978,-4.02517032623291,[2020]
I think that,1.0,casual_high_emotion,totally,7110,-5.0995025634765625,[2020]
I think that,1.0,casual_high_emotion,literally,8642,-3.7345478534698486,[2020]
I think that,1.0,casual_high_emotion,seriously,7580,-5.117851734161377,[2020]
I think that,1.0,casual_high_emotion,honestly,14483,-2.7931108474731445,[2020]
I think that,1.0,casual_high_emotion,really,1196,-1.337662696838379,[2020]
I think that,1.0,casual_high_emotion,absolutely,6270,-4.670577526092529,[2020]
I think that,1.0,casual_high_emotion,incredibly,9301,-5.105256080627441,[2020]
I think that,4.0,formal_low_emotion,perhaps,4153,0.21739304065704346,[2020]
I think that,4.0,formal_low_emotion,may,754,-2.801514148712158,[2020]
I think that,4.0,formal_low_emotion,however,2480,-3.9117298126220703,[2020]
I think that,4.0,formal_low_emotion,therefore,4320,-4.253816604614258,[2020]
I think that,4.0,formal_low_emotion,consequently,23995,-5.006518363952637,[2020]
I think that,4.0,formal_low_emotion,moreover,541,-2.835294485092163,[2020]
I think that,4.0,formal_low_emotion,accordingly,17159,-7.246156692504883,[2020]
I think that,4.0,formal_low_emotion,furthermore,2134,-3.022810697555542,[2020]
I think that,4.0,formal_high_emotion,profoundly,29160,-7.626692295074463,[2020]
I think that,4.0,formal_high_emotion,devastated,27668,-8.462621688842773,[2020]
I think that,4.0,formal_high_emotion,magnificent,16773,-6.43171501159668,[2020]
I think that,4.0,formal_high_emotion,appalling,573,-4.778010368347168,[2020]
I think that,4.0,formal_high_emotion,extraordinary,10035,-4.581473350524902,[2020]
I think that,4.0,formal_high_emotion,overwhelming,11734,-5.371899604797363,[2020]
I think that,4.0,formal_high_emotion,catastrophic,24769,-7.216986656188965,[2020]
I think that,4.0,formal_high_emotion,triumphant,15511,-4.343156337738037,[2020]
I think that,4.0,casual_low_emotion,yeah,12191,-5.198729515075684,[2020]
I think that,4.0,casual_low_emotion,okay,10989,-4.0797600746154785,[2020]
I think that,4.0,casual_low_emotion,kinda,21775,-3.788860559463501,[2020]
I think that,4.0,casual_low_emotion,basically,8087,-4.45120906829834,[2020]
I think that,4.0,casual_low_emotion,anyway,8668,-1.9478068351745605,[2020]
I think that,4.0,casual_low_emotion,whatever,5193,-1.5723950862884521,[2020]
I think that,4.0,casual_low_emotion,guess,5310,-7.458146095275879,[2020]
I think that,4.0,casual_low_emotion,stuff,4269,-4.792599678039551,[2020]
I think that,4.0,casual_high_emotion,OMG,21978,-4.016232490539551,[2020]
I think that,4.0,casual_high_emotion,totally,7110,-5.083097457885742,[2020]
I think that,4.0,casual_high_emotion,literally,8642,-3.7155635356903076,[2020]
I think that,4.0,casual_high_emotion,seriously,7580,-5.103080749511719,[2020]
I think that,4.0,casual_high_emotion,honestly,14483,-2.768291711807251,[2020]
I think that,4.0,casual_high_emotion,really,1196,-1.328944444656372,[2020]
I think that,4.0,casual_high_emotion,absolutely,6270,-4.648399829864502,[2020]
I think that,4.0,casual_high_emotion,incredibly,9301,-5.095749855041504,[2020]
I think that,15.0,formal_low_emotion,perhaps,4153,0.23765742778778076,[2020]
I think that,15.0,formal_low_emotion,may,754,-2.786134719848633,[2020]
I think that,15.0,formal_low_emotion,however,2480,-3.893256187438965,[2020]
I think that,15.0,formal_low_emotion,therefore,4320,-4.226924896240234,[2020]
I think that,15.0,formal_low_emotion,consequently,23995,-4.973670482635498,[2020]
I think that,15.0,formal_low_emotion,moreover,541,-2.818154811859131,[2020]
I think that,15.0,formal_low_emotion,accordingly,17159,-7.211606025695801,[2020]
I think that,15.0,formal_low_emotion,furthermore,2134,-3.0220417976379395,[2020]
I think that,15.0,formal_high_emotion,profoundly,29160,-7.603785514831543,[2020]
I think that,15.0,formal_high_emotion,devastated,27668,-8.44425106048584,[2020]
I think that,15.0,formal_high_emotion,magnificent,16773,-6.400876522064209,[2020]
I think that,15.0,formal_high_emotion,appalling,573,-4.761038303375244,[2020]
I think that,15.0,formal_high_emotion,extraordinary,10035,-4.57179069519043,[2020]
I think that,15.0,formal_high_emotion,overwhelming,11734,-5.351828575134277,[2020]
I think that,15.0,formal_high_emotion,catastrophic,24769,-7.193340301513672,[2020]
I think that,15.0,formal_high_emotion,triumphant,15511,-4.320149898529053,[2020]
I think that,15.0,casual_low_emotion,yeah,12191,-5.163303852081299,[2020]
I think that,15.0,casual_low_emotion,okay,10989,-4.055922508239746,[2020]
I think that,15.0,casual_low_emotion,kinda,21775,-3.784029960632324,[2020]
I think that,15.0,casual_low_emotion,basically,8087,-4.421438217163086,[2020]
I think that,15.0,casual_low_emotion,anyway,8668,-1.9048583507537842,[2020]
I think that,15.0,casual_low_emotion,whatever,5193,-1.5574562549591064,[2020]
I think that,15.0,casual_low_emotion,guess,5310,-7.451634883880615,[2020]
I think that,15.0,casual_low_emotion,stuff,4269,-4.774716377258301,[2020]
I think that,15.0,casual_high_emotion,OMG,21978,-3.991661548614502,[2020]
I think that,15.0,casual_high_emotion,totally,7110,-5.0630364418029785,[2020]
I think that,15.0,casual_high_emotion,literally,8642,-3.6874141693115234,[2020]
I think that,15.0,casual_high_emotion,seriously,7580,-5.060841083526611,[2020]
I think that,15.0,casual_high_emotion,honestly,14483,-2.732296943664551,[2020]
I think that,15.0,casual_high_emotion,really,1196,-1.3039361238479614,[2020]
I think that,15.0,casual_high_emotion,absolutely,6270,-4.624489784240723,[2020]
I think that,15.0,casual_high_emotion,incredibly,9301,-5.071290016174316,[2020]
The situation is,-15.0,formal_low_emotion,perhaps,4153,0.3754758834838867,[2020]
The situation is,-15.0,formal_low_emotion,may,754,-0.16366618871688843,[2020]
The situation is,-15.0,formal_low_emotion,however,2480,0.21386852860450745,[2020]
The situation is,-15.0,formal_low_emotion,therefore,4320,-1.52405846118927,[2020]
The situation is,-15.0,formal_low_emotion,consequently,23995,-4.4317779541015625,[2020]
The situation is,-15.0,formal_low_emotion,moreover,541,2.5185296535491943,[2020]
The situation is,-15.0,formal_low_emotion,accordingly,17159,-6.08790397644043,[2020]
The situation is,-15.0,formal_low_emotion,furthermore,2134,3.7472264766693115,[2020]
The situation is,-15.0,formal_high_emotion,profoundly,29160,-4.933753967285156,[2020]
The situation is,-15.0,formal_high_emotion,devastated,27668,-4.065517902374268,[2020]
The situation is,-15.0,formal_high_emotion,magnificent,16773,-6.140216827392578,[2020]
The situation is,-15.0,formal_high_emotion,appalling,573,-0.3823598623275757,[2020]
The situation is,-15.0,formal_high_emotion,extraordinary,10035,-0.39037561416625977,[2020]
The situation is,-15.0,formal_high_emotion,overwhelming,11734,0.04917903244495392,[2020]
The situation is,-15.0,formal_high_emotion,catastrophic,24769,-1.5493297576904297,[2020]
The situation is,-15.0,formal_high_emotion,triumphant,15511,-6.323909759521484,[2020]
The situation is,-15.0,casual_low_emotion,yeah,12191,-6.00124454498291,[2020]
The situation is,-15.0,casual_low_emotion,okay,10989,-0.1876976191997528,[2020]
The situation is,-15.0,casual_low_emotion,kinda,21775,-2.046319007873535,[2020]
The situation is,-15.0,casual_low_emotion,basically,8087,-1.4350903034210205,[2020]
The situation is,-15.0,casual_low_emotion,anyway,8668,-2.212712287902832,[2020]
The situation is,-15.0,casual_low_emotion,whatever,5193,-6.893040180206299,[2020]
The situation is,-15.0,casual_low_emotion,guess,5310,-2.9748120307922363,[2020]
The situation is,-15.0,casual_low_emotion,stuff,4269,-6.258098602294922,[2020]
The situation is,-15.0,casual_high_emotion,OMG,21978,-1.8048710823059082,[2020]
The situation is,-15.0,casual_high_emotion,totally,7110,0.8288779258728027,[2020]
The situation is,-15.0,casual_high_emotion,literally,8642,-0.0706319808959961,[2020]
The situation is,-15.0,casual_high_emotion,seriously,7580,0.06885170936584473,[2020]
The situation is,-15.0,casual_high_emotion,honestly,14483,-1.9972190856933594,[2020]
The situation is,-15.0,casual_high_emotion,really,1196,3.603976011276245,[2020]
The situation is,-15.0,casual_high_emotion,absolutely,6270,0.4524591267108917,[2020]
The situation is,-15.0,casual_high_emotion,incredibly,9301,1.0591459274291992,[2020]
The situation is,4.0,formal_low_emotion,perhaps,4153,0.4628326892852783,[2020]
The situation is,4.0,formal_low_emotion,may,754,0.14051523804664612,[2020]
The situation is,4.0,formal_low_emotion,however,2480,0.19213470816612244,[2020]
The situation is,4.0,formal_low_emotion,therefore,4320,-1.0143952369689941,[2020]
The situation is,4.0,formal_low_emotion,consequently,23995,-3.9811573028564453,[2020]
The situation is,4.0,formal_low_emotion,moreover,541,2.6606359481811523,[2020]
The situation is,4.0,formal_low_emotion,accordingly,17159,-5.563076496124268,[2020]
The situation is,4.0,formal_low_emotion,furthermore,2134,4.223536014556885,[2020]
The situation is,4.0,formal_high_emotion,profoundly,29160,-4.739078521728516,[2020]
The situation is,4.0,formal_high_emotion,devastated,27668,-3.71665096282959,[2020]
The situation is,4.0,formal_high_emotion,magnificent,16773,-6.086584091186523,[2020]
The situation is,4.0,formal_high_emotion,appalling,573,-0.3328379988670349,[2020]
The situation is,4.0,formal_high_emotion,extraordinary,10035,-0.2805480360984802,[2020]
The situation is,4.0,formal_high_emotion,overwhelming,11734,0.35086631774902344,[2020]
The situation is,4.0,formal_high_emotion,catastrophic,24769,-1.0980623960494995,[2020]
The situation is,4.0,formal_high_emotion,triumphant,15511,-6.290909767150879,[2020]
The situation is,4.0,casual_low_emotion,yeah,12191,-5.947887420654297,[2020]
The situation is,4.0,casual_low_emotion,okay,10989,-0.13601014018058777,[2020]
The situation is,4.0,casual_low_emotion,kinda,21775,-1.6239216327667236,[2020]
The situation is,4.0,casual_low_emotion,basically,8087,-1.2535450458526611,[2020]
The situation is,4.0,casual_low_emotion,anyway,8668,-2.024813652038574,[2020]
The situation is,4.0,casual_low_emotion,whatever,5193,-7.159708023071289,[2020]
The situation is,4.0,casual_low_emotion,guess,5310,-2.4422659873962402,[2020]
The situation is,4.0,casual_low_emotion,stuff,4269,-6.0326337814331055,[2020]
The situation is,4.0,casual_high_emotion,OMG,21978,-1.6208150386810303,[2020]
The situation is,4.0,casual_high_emotion,totally,7110,1.126035451889038,[2020]
The situation is,4.0,casual_high_emotion,literally,8642,0.3410675525665283,[2020]
The situation is,4.0,casual_high_emotion,seriously,7580,0.1496429145336151,[2020]
The situation is,4.0,casual_high_emotion,honestly,14483,-1.8088300228118896,[2020]
The situation is,4.0,casual_high_emotion,really,1196,3.933192253112793,[2020]
The situation is,4.0,casual_high_emotion,absolutely,6270,0.9226509928703308,[2020]
The situation is,4.0,casual_high_emotion,incredibly,9301,1.378103494644165,[2020]
The situation is,1.0,formal_low_emotion,perhaps,4153,0.45963501930236816,[2020]
The situation is,1.0,formal_low_emotion,may,754,0.1397370994091034,[2020]
The situation is,1.0,formal_low_emotion,however,2480,0.18501636385917664,[2020]
The situation is,1.0,formal_low_emotion,therefore,4320,-1.0305018424987793,[2020]
The situation is,1.0,formal_low_emotion,consequently,23995,-3.9954416751861572,[2020]
The situation is,1.0,formal_low_emotion,moreover,541,2.6562626361846924,[2020]
The situation is,1.0,formal_low_emotion,accordingly,17159,-5.582033157348633,[2020]
The situation is,1.0,formal_low_emotion,furthermore,2134,4.211295127868652,[2020]
The situation is,1.0,formal_high_emotion,profoundly,29160,-4.748511791229248,[2020]
The situation is,1.0,formal_high_emotion,devastated,27668,-3.724219799041748,[2020]
The situation is,1.0,formal_high_emotion,magnificent,16773,-6.091681957244873,[2020]
The situation is,1.0,formal_high_emotion,appalling,573,-0.3455497622489929,[2020]
The situation is,1.0,formal_high_emotion,extraordinary,10035,-0.2890723943710327,[2020]
The situation is,1.0,formal_high_emotion,overwhelming,11734,0.3397325277328491,[2020]
The situation is,1.0,formal_high_emotion,catastrophic,24769,-1.111100673675537,[2020]
The situation is,1.0,formal_high_emotion,triumphant,15511,-6.298599720001221,[2020]
The situation is,1.0,casual_low_emotion,yeah,12191,-5.949758529663086,[2020]
The situation is,1.0,casual_low_emotion,okay,10989,-0.139857679605484,[2020]
The situation is,1.0,casual_low_emotion,kinda,21775,-1.6276700496673584,[2020]
The situation is,1.0,casual_low_emotion,basically,8087,-1.2645151615142822,[2020]
The situation is,1.0,casual_low_emotion,anyway,8668,-2.0300707817077637,[2020]
The situation is,1.0,casual_low_emotion,whatever,5193,-7.154359340667725,[2020]
The situation is,1.0,casual_low_emotion,guess,5310,-2.4486775398254395,[2020]
The situation is,1.0,casual_low_emotion,stuff,4269,-6.041114807128906,[2020]
The situation is,1.0,casual_high_emotion,OMG,21978,-1.6249549388885498,[2020]
The situation is,1.0,casual_high_emotion,totally,7110,1.113581657409668,[2020]
The situation is,1.0,casual_high_emotion,literally,8642,0.32985711097717285,[2020]
The situation is,1.0,casual_high_emotion,seriously,7580,0.1495804488658905,[2020]
The situation is,1.0,casual_high_emotion,honestly,14483,-1.8231734037399292,[2020]
The situation is,1.0,casual_high_emotion,really,1196,3.9268295764923096,[2020]
The situation is,1.0,casual_high_emotion,absolutely,6270,0.9093612432479858,[2020]
The situation is,1.0,casual_high_emotion,incredibly,9301,1.3703346252441406,[2020]
The situation is,4.0,formal_low_emotion,perhaps,4153,0.4628326892852783,[2020]
The situation is,4.0,formal_low_emotion,may,754,0.14051523804664612,[2020]
The situation is,4.0,formal_low_emotion,however,2480,0.19213470816612244,[2020]
The situation is,4.0,formal_low_emotion,therefore,4320,-1.0143952369689941,[2020]
The situation is,4.0,formal_low_emotion,consequently,23995,-3.9811573028564453,[2020]
The situation is,4.0,formal_low_emotion,moreover,541,2.6606359481811523,[2020]
The situation is,4.0,formal_low_emotion,accordingly,17159,-5.563076496124268,[2020]
The situation is,4.0,formal_low_emotion,furthermore,2134,4.223536014556885,[2020]
The situation is,4.0,formal_high_emotion,profoundly,29160,-4.739078521728516,[2020]
The situation is,4.0,formal_high_emotion,devastated,27668,-3.71665096282959,[2020]
The situation is,4.0,formal_high_emotion,magnificent,16773,-6.086584091186523,[2020]
The situation is,4.0,formal_high_emotion,appalling,573,-0.3328379988670349,[2020]
The situation is,4.0,formal_high_emotion,extraordinary,10035,-0.2805480360984802,[2020]
The situation is,4.0,formal_high_emotion,overwhelming,11734,0.35086631774902344,[2020]
The situation is,4.0,formal_high_emotion,catastrophic,24769,-1.0980623960494995,[2020]
The situation is,4.0,formal_high_emotion,triumphant,15511,-6.290909767150879,[2020]
The situation is,4.0,casual_low_emotion,yeah,12191,-5.947887420654297,[2020]
The situation is,4.0,casual_low_emotion,okay,10989,-0.13601014018058777,[2020]
The situation is,4.0,casual_low_emotion,kinda,21775,-1.6239216327667236,[2020]
The situation is,4.0,casual_low_emotion,basically,8087,-1.2535450458526611,[2020]
The situation is,4.0,casual_low_emotion,anyway,8668,-2.024813652038574,[2020]
The situation is,4.0,casual_low_emotion,whatever,5193,-7.159708023071289,[2020]
The situation is,4.0,casual_low_emotion,guess,5310,-2.4422659873962402,[2020]
The situation is,4.0,casual_low_emotion,stuff,4269,-6.0326337814331055,[2020]
The situation is,4.0,casual_high_emotion,OMG,21978,-1.6208150386810303,[2020]
The situation is,4.0,casual_high_emotion,totally,7110,1.126035451889038,[2020]
The situation is,4.0,casual_high_emotion,literally,8642,0.3410675525665283,[2020]
The situation is,4.0,casual_high_emotion,seriously,7580,0.1496429145336151,[2020]
The situation is,4.0,casual_high_emotion,honestly,14483,-1.8088300228118896,[2020]
The situation is,4.0,casual_high_emotion,really,1196,3.933192253112793,[2020]
The situation is,4.0,casual_high_emotion,absolutely,6270,0.9226509928703308,[2020]
The situation is,4.0,casual_high_emotion,incredibly,9301,1.378103494644165,[2020]
The situation is,15.0,formal_low_emotion,perhaps,4153,0.4676405191421509,[2020]
The situation is,15.0,formal_low_emotion,may,754,0.153681218624115,[2020]
The situation is,15.0,formal_low_emotion,however,2480,0.20075613260269165,[2020]
The situation is,15.0,formal_low_emotion,therefore,4320,-1.0079267024993896,[2020]
The situation is,15.0,formal_low_emotion,consequently,23995,-3.960542917251587,[2020]
The situation is,15.0,formal_low_emotion,moreover,541,2.6714820861816406,[2020]
The situation is,15.0,formal_low_emotion,accordingly,17159,-5.541057586669922,[2020]
The situation is,15.0,formal_low_emotion,furthermore,2134,4.242606163024902,[2020]
The situation is,15.0,formal_high_emotion,profoundly,29160,-4.7314133644104,[2020]
The situation is,15.0,formal_high_emotion,devastated,27668,-3.7081589698791504,[2020]
The situation is,15.0,formal_high_emotion,magnificent,16773,-6.086413383483887,[2020]
The situation is,15.0,formal_high_emotion,appalling,573,-0.32081252336502075,[2020]
The situation is,15.0,formal_high_emotion,extraordinary,10035,-0.2773377299308777,[2020]
The situation is,15.0,formal_high_emotion,overwhelming,11734,0.36077696084976196,[2020]
The situation is,15.0,formal_high_emotion,catastrophic,24769,-1.0833642482757568,[2020]
The situation is,15.0,formal_high_emotion,triumphant,15511,-6.287134647369385,[2020]
The situation is,15.0,casual_low_emotion,yeah,12191,-5.941412925720215,[2020]
The situation is,15.0,casual_low_emotion,okay,10989,-0.13655146956443787,[2020]
The situation is,15.0,casual_low_emotion,kinda,21775,-1.6151857376098633,[2020]
The situation is,15.0,casual_low_emotion,basically,8087,-1.2385814189910889,[2020]
The situation is,15.0,casual_low_emotion,anyway,8668,-2.0157408714294434,[2020]
The situation is,15.0,casual_low_emotion,whatever,5193,-7.166983127593994,[2020]
The situation is,15.0,casual_low_emotion,guess,5310,-2.438546657562256,[2020]
The situation is,15.0,casual_low_emotion,stuff,4269,-6.027653217315674,[2020]
The situation is,15.0,casual_high_emotion,OMG,21978,-1.6108057498931885,[2020]
The situation is,15.0,casual_high_emotion,totally,7110,1.1316159963607788,[2020]
The situation is,15.0,casual_high_emotion,literally,8642,0.35259246826171875,[2020]
The situation is,15.0,casual_high_emotion,seriously,7580,0.15699845552444458,[2020]
The situation is,15.0,casual_high_emotion,honestly,14483,-1.8028677701950073,[2020]
The situation is,15.0,casual_high_emotion,really,1196,3.9410476684570312,[2020]
The situation is,15.0,casual_high_emotion,absolutely,6270,0.9263944625854492,[2020]
The situation is,15.0,casual_high_emotion,incredibly,9301,1.3845601081848145,[2020]
My opinion on this is,-15.0,formal_low_emotion,perhaps,4153,-0.6563965082168579,[2020]
My opinion on this is,-15.0,formal_low_emotion,may,754,-1.0873959064483643,[2020]
My opinion on this is,-15.0,formal_low_emotion,however,2480,0.3908029794692993,[2020]
My opinion on this is,-15.0,formal_low_emotion,therefore,4320,-1.9059573411941528,[2020]
My opinion on this is,-15.0,formal_low_emotion,consequently,23995,-5.871809005737305,[2020]
My opinion on this is,-15.0,formal_low_emotion,moreover,541,2.1270053386688232,[2020]
My opinion on this is,-15.0,formal_low_emotion,accordingly,17159,-5.191069602966309,[2020]
My opinion on this is,-15.0,formal_low_emotion,furthermore,2134,1.689178466796875,[2020]
My opinion on this is,-15.0,formal_high_emotion,profoundly,29160,-3.4728565216064453,[2020]
My opinion on this is,-15.0,formal_high_emotion,devastated,27668,-5.961245536804199,[2020]
My opinion on this is,-15.0,formal_high_emotion,magnificent,16773,-7.764589309692383,[2020]
My opinion on this is,-15.0,formal_high_emotion,appalling,573,-2.356221914291382,[2020]
My opinion on this is,-15.0,formal_high_emotion,extraordinary,10035,-6.207209587097168,[2020]
My opinion on this is,-15.0,formal_high_emotion,overwhelming,11734,-2.2704033851623535,[2020]
My opinion on this is,-15.0,formal_high_emotion,catastrophic,24769,-8.598031044006348,[2020]
My opinion on this is,-15.0,formal_high_emotion,triumphant,15511,-6.975988864898682,[2020]
My opinion on this is,-15.0,casual_low_emotion,yeah,12191,-2.328949213027954,[2020]
My opinion on this is,-15.0,casual_low_emotion,okay,10989,2.467014789581299,[2020]
My opinion on this is,-15.0,casual_low_emotion,kinda,21775,1.9117822647094727,[2020]
My opinion on this is,-15.0,casual_low_emotion,basically,8087,2.767775058746338,[2020]
My opinion on this is,-15.0,casual_low_emotion,anyway,8668,-0.975550651550293,[2020]
My opinion on this is,-15.0,casual_low_emotion,whatever,5193,-0.746304988861084,[2020]
My opinion on this is,-15.0,casual_low_emotion,guess,5310,-1.0129115581512451,[2020]
My opinion on this is,-15.0,casual_low_emotion,stuff,4269,-4.207571983337402,[2020]
My opinion on this is,-15.0,casual_high_emotion,OMG,21978,-4.706395626068115,[2020]
My opinion on this is,-15.0,casual_high_emotion,totally,7110,3.3477115631103516,[2020]
My opinion on this is,-15.0,casual_high_emotion,literally,8642,-1.3585071563720703,[2020]
My opinion on this is,-15.0,casual_high_emotion,seriously,7580,-0.45713484287261963,[2020]
My opinion on this is,-15.0,casual_high_emotion,honestly,14483,0.858345627784729,[2020]
My opinion on this is,-15.0,casual_high_emotion,really,1196,3.0072684288024902,[2020]
My opinion on this is,-15.0,casual_high_emotion,absolutely,6270,-0.9051753878593445,[2020]
My opinion on this is,-15.0,casual_high_emotion,incredibly,9301,-2.1147780418395996,[2020]
My opinion on this is,4.0,formal_low_emotion,perhaps,4153,-0.6436511874198914,[2020]
My opinion on this is,4.0,formal_low_emotion,may,754,-1.06171715259552,[2020]
