prompt,word_category,word,token_id,baseline_logit,mean_logit,std_logit,min_logit,max_logit,range_logit,max_abs_difference_from_baseline,mean_abs_difference_from_baseline,clamping_effect,num_clamp_conditions,target_features
I think that,casual_high_emotion,absolutely,6270,-4.669983863830566,-4.670144081115723,0.001685532111698385,-4.672364711761475,-4.66765022277832,0.004714488983154297,0.002380847930908203,0.0013270378112792969,-0.004714488983154297,4,[31]
It seems to me that,casual_low_emotion,anyway,8668,-3.6877448558807373,-3.6878814101219177,0.0015847798572646936,-3.689964532852173,-3.6855309009552,0.004433631896972656,0.002219676971435547,0.0012435317039489746,-0.004433631896972656,4,[31]
I think that,formal_low_emotion,however,2480,-3.914977550506592,-3.915158212184906,0.0015435781553233756,-3.9172325134277344,-3.912907123565674,0.004325389862060547,0.002254962921142578,0.0012158751487731934,-0.004325389862060547,4,[31]
I think that,formal_low_emotion,accordingly,17159,-7.259115695953369,-7.259236216545105,0.001498927287123409,-7.261192321777344,-7.257002830505371,0.004189491271972656,0.002112865447998047,0.0011769533157348633,-0.004189491271972656,4,[31]
I think that,formal_low_emotion,perhaps,4153,0.20630696415901184,0.20621798932552338,0.0014200007768721044,0.20439612865447998,0.20835664868354797,0.003960520029067993,0.002049684524536133,0.0011138170957565308,-0.003960520029067993,4,[31]
I think that,casual_low_emotion,kinda,21775,-3.7860257625579834,-3.786166250705719,0.0013826899765592392,-3.7880001068115234,-3.7841298580169678,0.003870248794555664,0.001974344253540039,0.0010884404182434082,-0.003870248794555664,4,[31]
My opinion on this is,formal_low_emotion,accordingly,17159,-5.065578937530518,-5.065676808357239,0.0013807445230603255,-5.067451000213623,-5.063601016998291,0.0038499832153320312,0.0019779205322265625,0.0010868310928344727,-0.0038499832153320312,4,[31]
It seems to me that,casual_low_emotion,okay,10989,-6.564296245574951,-6.564398765563965,0.001375013461691279,-6.5661749839782715,-6.562337875366211,0.003837108612060547,0.0019583702087402344,0.001081705093383789,-0.003837108612060547,4,[31]
The best approach would be,casual_high_emotion,OMG,21978,-6.209680557250977,-6.209818482398987,0.0013630358837489363,-6.211614608764648,-6.207803726196289,0.003810882568359375,0.001934051513671875,0.001076340675354004,-0.003810882568359375,4,[31]
It seems to me that,casual_high_emotion,honestly,14483,-4.218777179718018,-4.218918442726135,0.0013461156629068643,-4.220711708068848,-4.216941833496094,0.0037698745727539062,0.0019345283508300781,0.0010589361190795898,-0.0037698745727539062,4,[31]
I think that,formal_low_emotion,moreover,541,-2.8414783477783203,-2.8415883779525757,0.001339709006215418,-2.8433334827423096,-2.8395907878875732,0.003742694854736328,0.0018875598907470703,0.0010538101196289062,-0.003742694854736328,4,[31]
I think that,casual_high_emotion,totally,7110,-5.0990400314331055,-5.099184513092041,0.001323609338704148,-5.100951194763184,-5.0972442626953125,0.0037069320678710938,0.001911163330078125,0.0010423660278320312,-0.0037069320678710938,4,[31]
My opinion on this is,formal_high_emotion,magnificent,16773,-7.636441230773926,-7.636538147926331,0.0013249588388431262,-7.638253211975098,-7.634553909301758,0.0036993026733398438,0.0018873214721679688,0.0010405778884887695,-0.0036993026733398438,4,[31]
My opinion on this is,casual_low_emotion,yeah,12191,-1.9912651777267456,-1.99138942360878,0.0013151959630105221,-1.9931246042251587,-1.9894448518753052,0.0036797523498535156,0.001859426498413086,0.0010344088077545166,-0.0036797523498535156,4,[31]
It seems to me that,formal_high_emotion,devastated,27668,-11.011457443237305,-11.011623859405518,0.001281429843320417,-11.013370513916016,-11.009775161743164,0.0035953521728515625,0.0019130706787109375,0.0010075569152832031,-0.0035953521728515625,4,[31]
The best approach would be,casual_low_emotion,yeah,12191,-6.400516510009766,-6.400627255439758,0.0012779605194259106,-6.4022979736328125,-6.398726463317871,0.0035715103149414062,0.0017900466918945312,0.0010057687759399414,-0.0035715103149414062,4,[31]
I think that,formal_high_emotion,appalling,573,-4.78334903717041,-4.783447861671448,0.0012784001710298145,-4.7851080894470215,-4.7815375328063965,0.003570556640625,0.0018115043640136719,0.0010045766830444336,-0.003570556640625,4,[31]
It seems to me that,casual_low_emotion,yeah,12191,-6.119842052459717,-6.119944334030151,0.0012562229683476531,-6.121581554412842,-6.118071556091309,0.003509998321533203,0.0017704963684082031,0.0009875297546386719,-0.003509998321533203,4,[31]
It seems to me that,casual_high_emotion,OMG,21978,-5.620972156524658,-5.621102690696716,0.0012511294472212701,-5.622763633728027,-5.619261741638184,0.00350189208984375,0.0017914772033691406,0.0009857416152954102,-0.00350189208984375,4,[31]
I think that,casual_high_emotion,incredibly,9301,-5.104833602905273,-5.105027437210083,0.0012411801710437702,-5.106752395629883,-5.103267669677734,0.0034847259521484375,0.001918792724609375,0.0009768009185791016,-0.0034847259521484375,4,[31]
It seems to me that,formal_high_emotion,triumphant,15511,-7.291160583496094,-7.291280388832092,0.001245071373575757,-7.29292106628418,-7.289438724517822,0.003482341766357422,0.0017604827880859375,0.0009807348251342773,-0.003482341766357422,4,[31]
The situation is,casual_high_emotion,OMG,21978,-1.6245207786560059,-1.6246671080589294,0.0012375637095644436,-1.6263301372528076,-1.6228625774383545,0.003467559814453125,0.0018093585968017578,0.0009754300117492676,-0.003467559814453125,4,[31]
I think that,formal_high_emotion,overwhelming,11734,-5.378784656524658,-5.378973841667175,0.0012317660652601335,-5.380680084228516,-5.377222537994385,0.0034575462341308594,0.0018954277038574219,0.0009702444076538086,-0.0034575462341308594,4,[31]
It seems to me that,casual_low_emotion,stuff,4269,-6.969538688659668,-6.969642877578735,0.0012268287799552136,-6.971247673034668,-6.967818260192871,0.003429412841796875,0.001720428466796875,0.0009644031524658203,-0.003429412841796875,4,[31]
The situation is,formal_high_emotion,appalling,573,-0.3451269268989563,-0.34521816670894623,0.0012209609776223061,-0.3468032479286194,-0.3433927297592163,0.003410518169403076,0.0017341971397399902,0.0009583383798599243,-0.003410518169403076,4,[31]
The best approach would be,casual_low_emotion,kinda,21775,-4.752734184265137,-4.752840638160706,0.0012130464289381267,-4.754431247711182,-4.751039505004883,0.003391742706298828,0.0016970634460449219,0.0009537935256958008,-0.003391742706298828,4,[31]
My opinion on this is,formal_low_emotion,may,754,-1.066109538078308,-1.0662409663200378,0.0011896109687167923,-1.067825436592102,-1.064495325088501,0.0033301115036010742,0.0017158985137939453,0.0009385347366333008,-0.0033301115036010742,4,[31]
The best approach would be,casual_low_emotion,stuff,4269,-6.816816806793213,-6.816917419433594,0.0011877176579952792,-6.818464279174805,-6.8151469230651855,0.0033173561096191406,0.0016698837280273438,0.0009355545043945312,-0.0033173561096191406,4,[31]
The situation is,casual_high_emotion,honestly,14483,-1.8227653503417969,-1.8229006230831146,0.0011677498933898268,-1.8244677782058716,-1.8211959600448608,0.003271818161010742,0.001702427864074707,0.0009199678897857666,-0.003271818161010742,4,[31]
It seems to me that,formal_high_emotion,appalling,573,-4.520401477813721,-4.520473837852478,0.001167072819899079,-4.521964073181152,-4.518712043762207,0.0032520294189453125,0.0016894340515136719,0.0009170770645141602,-0.0032520294189453125,4,[31]
I think that,formal_high_emotion,catastrophic,24769,-7.234338760375977,-7.23450243473053,0.001149969074447574,-7.236087799072266,-7.232859134674072,0.0032286643981933594,0.0017490386962890625,0.0009034872055053711,-0.0032286643981933594,4,[31]
I think that,casual_low_emotion,guess,5310,-7.473489284515381,-7.473529815673828,0.0011611070475957411,-7.474974632263184,-7.4717512130737305,0.003223419189453125,0.0017380714416503906,0.0009095668792724609,-0.003223419189453125,4,[31]
My opinion on this is,formal_low_emotion,consequently,23995,-5.660994052886963,-5.661117672920227,0.0011371049827368603,-5.662629127502441,-5.659446716308594,0.0031824111938476562,0.0016350746154785156,0.0008972883224487305,-0.0031824111938476562,4,[31]
The best approach would be,casual_low_emotion,anyway,8668,-3.982957363128662,-3.983036696910858,0.0011299869794465442,-3.984501361846924,-3.9813449382781982,0.003156423568725586,0.0016124248504638672,0.0008855462074279785,-0.003156423568725586,4,[31]
My opinion on this is,casual_low_emotion,kinda,21775,2.3705766201019287,2.3704655170440674,0.0011249428908106135,2.368975877761841,2.372124433517456,0.0031485557556152344,0.0016007423400878906,0.000885009765625,-0.0031485557556152344,4,[31]
It seems to me that,formal_high_emotion,overwhelming,11734,-7.026009559631348,-7.026119112968445,0.001121066792499758,-7.027596473693848,-7.024461269378662,0.003135204315185547,0.0015869140625,0.0008836984634399414,-0.003135204315185547,4,[31]
My opinion on this is,casual_low_emotion,okay,10989,2.4679245948791504,2.4678608775138855,0.0010936424128436429,2.4664623737335205,2.4695115089416504,0.003049135208129883,0.0015869140625,0.0008571743965148926,-0.003049135208129883,4,[31]
My opinion on this is,formal_high_emotion,devastated,27668,-6.0528435707092285,-6.052976131439209,0.0010864548653322077,-6.054447174072266,-6.051400184631348,0.0030469894409179688,0.0016036033630371094,0.0008542537689208984,-0.0030469894409179688,4,[31]
My opinion on this is,casual_high_emotion,absolutely,6270,-0.47838884592056274,-0.47845321893692017,0.0010753630616204223,-0.4798332452774048,-0.4768332242965698,0.003000020980834961,0.00155562162399292,0.0008421838283538818,-0.003000020980834961,4,[31]
I think that,casual_low_emotion,whatever,5193,-1.5778964757919312,-1.5780375003814697,0.001032949811243405,-1.5794540643692017,-1.576554775238037,0.0028992891311645508,0.0015575885772705078,0.0008118748664855957,-0.0028992891311645508,4,[31]
My opinion on this is,casual_low_emotion,guess,5310,-0.9404014348983765,-0.9405046701431274,0.0010345913608154622,-0.9418808221817017,-0.9389830827713013,0.0028977394104003906,0.0014793872833251953,0.0008124113082885742,-0.0028977394104003906,4,[31]
My opinion on this is,casual_low_emotion,anyway,8668,-0.7719849348068237,-0.7720787674188614,0.001026764048624069,-0.7734322547912598,-0.7705593109130859,0.002872943878173828,0.0014473199844360352,0.0008066445589065552,-0.002872943878173828,4,[31]
My opinion on this is,casual_low_emotion,whatever,5193,-0.5854933261871338,-0.5855759382247925,0.0010264133151813802,-0.5869168043136597,-0.5840474367141724,0.0028693675994873047,0.0014458894729614258,0.0008055567741394043,-0.0028693675994873047,4,[31]
It seems to me that,formal_low_emotion,however,2480,-4.4904303550720215,-4.490510821342468,0.0009854234370377049,-4.491792678833008,-4.489040374755859,0.0027523040771484375,0.0013899803161621094,0.000775456428527832,-0.0027523040771484375,4,[31]
The situation is,casual_low_emotion,yeah,12191,-5.949405670166016,-5.949473142623901,0.0009864181110454287,-5.95073938369751,-5.947988986968994,0.002750396728515625,0.0014166831970214844,0.0007758140563964844,-0.002750396728515625,4,[31]
It seems to me that,formal_low_emotion,may,754,-4.966620922088623,-4.966703414916992,0.0009822781803332243,-4.967982769012451,-4.96523904800415,0.0027437210083007812,0.0013818740844726562,0.0007734298706054688,-0.0027437210083007812,4,[31]
My opinion on this is,casual_high_emotion,OMG,21978,-4.6847124099731445,-4.684813022613525,0.0009752163932105035,-4.686099052429199,-4.683372497558594,0.0027265548706054688,0.0013866424560546875,0.00077056884765625,-0.0027265548706054688,4,[31]
My opinion on this is,casual_low_emotion,basically,8087,3.003385543823242,3.0032954812049866,0.0009735208129001067,3.00201416015625,3.004737138748169,0.0027229785919189453,0.0013713836669921875,0.0007658600807189941,-0.0027229785919189453,4,[31]
It seems to me that,casual_low_emotion,guess,5310,-10.813505172729492,-10.81356430053711,0.0009724413164543875,-10.814806938171387,-10.81209659576416,0.0027103424072265625,0.0014085769653320312,0.0007634162902832031,-0.0027103424072265625,4,[31]
I think that,casual_high_emotion,seriously,7580,-5.117526054382324,-5.117588996887207,0.000951158244329038,-5.11881685256958,-5.116161346435547,0.002655506134033203,0.0013647079467773438,0.0007452964782714844,-0.002655506134033203,4,[31]
It seems to me that,formal_low_emotion,accordingly,17159,-9.591078758239746,-9.591148138046265,0.0009386295405541729,-9.592354774475098,-9.589737892150879,0.00261688232421875,0.0013408660888671875,0.0007398128509521484,-0.00261688232421875,4,[31]
My opinion on this is,casual_low_emotion,stuff,4269,-4.3900041580200195,-4.390061616897583,0.0009258385923466352,-4.391247749328613,-4.388666152954102,0.0025815963745117188,0.0013380050659179688,0.0007264614105224609,-0.0025815963745117188,4,[31]
It seems to me that,formal_high_emotion,profoundly,29160,-8.293858528137207,-8.293938159942627,0.0009098449084618135,-8.295129776000977,-8.292586326599121,0.0025434494018554688,0.0012722015380859375,0.0007157325744628906,-0.0025434494018554688,4,[31]
My opinion on this is,casual_high_emotion,honestly,14483,1.4645893573760986,1.4644900858402252,0.000906501704966047,1.4632785320281982,1.4658178091049194,0.0025392770767211914,0.0013108253479003906,0.0007134974002838135,-0.0025392770767211914,4,[31]
I think that,casual_low_emotion,basically,8087,-4.467886924743652,-4.467980623245239,0.0008959760368975186,-4.469177722930908,-4.466667175292969,0.002510547637939453,0.0012907981872558594,0.0007035732269287109,-0.002510547637939453,4,[31]
It seems to me that,casual_high_emotion,seriously,7580,-7.758687496185303,-7.758772253990173,0.0008964340339026161,-7.759960174560547,-7.757450103759766,0.00251007080078125,0.0012726783752441406,0.0007034540176391602,-0.00251007080078125,4,[31]
It seems to me that,casual_high_emotion,absolutely,6270,-6.860869884490967,-6.860932469367981,0.0008914258889480381,-6.862083435058594,-6.85959529876709,0.0024881362915039062,0.0012745857238769531,0.0006998777389526367,-0.0024881362915039062,4,[31]
My opinion on this is,casual_high_emotion,seriously,7580,-0.6700565814971924,-0.6701159775257111,0.0008825517567282238,-0.6712584495544434,-0.6687933206558228,0.0024651288986206055,0.001263260841369629,0.0006910264492034912,-0.0024651288986206055,4,[31]
The situation is,casual_high_emotion,literally,8642,0.3301633596420288,0.33013153076171875,0.0008836909655892673,0.32902443408966064,0.3314812183380127,0.0024567842483520508,0.0013178586959838867,0.000690758228302002,-0.0024567842483520508,4,[31]
It seems to me that,casual_low_emotion,kinda,21775,-6.989532947540283,-6.98960280418396,0.0008660489496901805,-6.990726947784424,-6.988308906555176,0.002418041229248047,0.0012240409851074219,0.0006818771362304688,-0.002418041229248047,4,[31]
It seems to me that,formal_low_emotion,consequently,23995,-7.577242374420166,-7.577292561531067,0.0008397470857564651,-7.5783586502075195,-7.576021194458008,0.0023374557495117188,0.0012211799621582031,0.0006607770919799805,-0.0023374557495117188,4,[31]
My opinion on this is,casual_high_emotion,really,1196,3.1148242950439453,3.114753544330597,0.0008117800124990931,3.1136882305145264,3.1159584522247314,0.002270221710205078,0.0011360645294189453,0.0006378293037414551,-0.002270221710205078,4,[31]
My opinion on this is,formal_high_emotion,appalling,573,-2.158034324645996,-2.158093810081482,0.000808237163364421,-2.1591358184814453,-2.156881093978882,0.0022547245025634766,0.0011532306671142578,0.0006361007690429688,-0.0022547245025634766,4,[31]
My opinion on this is,casual_high_emotion,totally,7110,3.8454718589782715,3.8454015254974365,0.0007982261327571563,3.844350576400757,3.8465840816497803,0.0022335052490234375,0.0011212825775146484,0.0006264448165893555,-0.0022335052490234375,4,[31]
My opinion on this is,casual_high_emotion,incredibly,9301,-2.0416207313537598,-2.0416847467422485,0.0007934842809224149,-2.042720317840576,-2.0405025482177734,0.0022177696228027344,0.0011181831359863281,0.0006231069564819336,-0.0022177696228027344,4,[31]
The best approach would be,formal_low_emotion,perhaps,4153,-2.633780002593994,-2.633829653263092,0.000777604020975653,-2.6348226070404053,-2.6326560974121094,0.0021665096282958984,0.0011239051818847656,0.0006116032600402832,-0.0021665096282958984,4,[31]
The best approach would be,casual_high_emotion,honestly,14483,-3.3654093742370605,-3.365493357181549,0.0007709269893578757,-3.366529941558838,-3.364368200302124,0.002161741256713867,0.0011205673217773438,0.0006045699119567871,-0.002161741256713867,4,[31]
The situation is,formal_low_emotion,may,754,0.1400192379951477,0.13992612063884735,0.0007683528458900451,0.1388987898826599,0.1410493552684784,0.0021505653858184814,0.001120448112487793,0.0006081759929656982,-0.0021505653858184814,4,[31]
It seems to me that,casual_high_emotion,really,1196,-4.7642436027526855,-4.764324307441711,0.0007661705125890347,-4.765342712402344,-4.763197898864746,0.0021448135375976562,0.0010991096496582031,0.0006035566329956055,-0.0021448135375976562,4,[31]
The situation is,casual_low_emotion,okay,10989,-0.13959860801696777,-0.1396343782544136,0.0007580502753901443,-0.14059650897979736,-0.13848471641540527,0.00211179256439209,0.0011138916015625,0.0005927160382270813,-0.00211179256439209,4,[31]
My opinion on this is,formal_low_emotion,perhaps,4153,-0.6527979969978333,-0.6528667956590652,0.0007428228315582466,-0.6538485288619995,-0.6517692804336548,0.0020792484283447266,0.0010505318641662598,0.000583156943321228,-0.0020792484283447266,4,[31]
It seems to me that,casual_high_emotion,totally,7110,-7.296573638916016,-7.296656608581543,0.0007313030453109954,-7.297636985778809,-7.29558801651001,0.002048969268798828,0.0010633468627929688,0.0005757808685302734,-0.002048969268798828,4,[31]
It seems to me that,formal_high_emotion,magnificent,16773,-9.347404479980469,-9.347492694854736,0.0007203851199003573,-9.348466873168945,-9.346446990966797,0.0020198822021484375,0.0010623931884765625,0.0005669593811035156,-0.0020198822021484375,4,[31]
My opinion on this is,casual_high_emotion,literally,8642,-1.3281145095825195,-1.328165739774704,0.0007105663793616748,-1.3290882110595703,-1.3271030187606812,0.00198519229888916,0.001011490821838379,0.0005569756031036377,-0.00198519229888916,4,[31]
The best approach would be,casual_low_emotion,guess,5310,-8.072785377502441,-8.072834730148315,0.0007083975295740701,-8.073755264282227,-8.071775436401367,0.001979827880859375,0.0010099411010742188,0.0005543231964111328,-0.001979827880859375,4,[31]
The situation is,casual_low_emotion,stuff,4269,-6.040876388549805,-6.040909171104431,0.0007021704730617368,-6.0418009757995605,-6.039844512939453,0.001956462860107422,0.0010318756103515625,0.0005487203598022461,-0.001956462860107422,4,[31]
The situation is,casual_low_emotion,kinda,21775,-1.627427101135254,-1.6274824440479279,0.0006939534519182048,-1.6283856630325317,-1.6264469623565674,0.0019387006759643555,0.0009801387786865234,0.0005454123020172119,-0.0019387006759643555,4,[31]
It seems to me that,formal_high_emotion,extraordinary,10035,-6.209336280822754,-6.209421277046204,0.0006811937474743426,-6.2103471755981445,-6.208436012268066,0.001911163330078125,0.001010894775390625,0.000535130500793457,-0.001911163330078125,4,[31]
My opinion on this is,formal_high_emotion,extraordinary,10035,-6.540022850036621,-6.54008936882019,0.0006715269528176643,-6.540981769561768,-6.5391011238098145,0.001880645751953125,0.0009589195251464844,0.0005273818969726562,-0.001880645751953125,4,[31]
The situation is,formal_high_emotion,extraordinary,10035,-0.2888362407684326,-0.28888559341430664,0.0006685287196030439,-0.2897498607635498,-0.2878838777542114,0.001865983009338379,0.0009523630142211914,0.0005255341529846191,-0.001865983009338379,4,[31]
The best approach would be,formal_low_emotion,however,2480,-4.395591735839844,-4.3956979513168335,0.0006461343529022327,-4.396597862243652,-4.394784450531006,0.0018134117126464844,0.0010061264038085938,0.0005098581314086914,-0.0018134117126464844,4,[31]
The situation is,formal_high_emotion,magnificent,16773,-6.091461181640625,-6.091518759727478,0.000630852440399592,-6.092348098754883,-6.090583801269531,0.0017642974853515625,0.0008869171142578125,0.0004962682723999023,-0.0017642974853515625,4,[31]
It seems to me that,formal_low_emotion,therefore,4320,-6.45097017288208,-6.450978398323059,0.0006213299214350833,-6.4517388343811035,-6.450017929077148,0.0017209053039550781,0.0009522438049316406,0.0004843473434448242,-0.0017209053039550781,4,[31]
The situation is,casual_high_emotion,totally,7110,1.1137864589691162,1.113732635974884,0.0006024680961857549,1.1129381656646729,1.114624261856079,0.00168609619140625,0.0008482933044433594,0.00047272443771362305,-0.00168609619140625,4,[31]
The best approach would be,formal_low_emotion,accordingly,17159,-7.918501377105713,-7.918493747711182,0.000613103470505034,-7.91921329498291,-7.917529582977295,0.0016837120056152344,0.0009717941284179688,0.0004782676696777344,-0.0016837120056152344,4,[31]
The best approach would be,casual_high_emotion,really,1196,-2.4603848457336426,-2.4604506492614746,0.0005977838942580177,-2.4612488746643066,-2.4595746994018555,0.0016741752624511719,0.0008640289306640625,0.00047087669372558594,-0.0016741752624511719,4,[31]
It seems to me that,casual_high_emotion,literally,8642,-6.13206672668457,-6.1321282386779785,0.0005839254075424741,-6.132906913757324,-6.1312713623046875,0.0016355514526367188,0.0008401870727539062,0.0004591941833496094,-0.0016355514526367188,4,[31]
The situation is,formal_low_emotion,furthermore,2134,4.211488723754883,4.211436748504639,0.0005559849697718979,4.2107038497924805,4.212259292602539,0.0015554428100585938,0.0007848739624023438,0.0004372596740722656,-0.0015554428100585938,4,[31]
My opinion on this is,formal_high_emotion,overwhelming,11734,-2.524167060852051,-2.524236738681793,0.000553587876365156,-2.524995803833008,-2.5234408378601074,0.0015549659729003906,0.0008287429809570312,0.00043278932571411133,-0.0015549659729003906,4,[31]
The situation is,formal_low_emotion,accordingly,17159,-5.581841468811035,-5.581871747970581,0.0005529737968215855,-5.582576751708984,-5.581035614013672,0.0015411376953125,0.0008058547973632812,0.00043320655822753906,-0.0015411376953125,4,[31]
The situation is,formal_high_emotion,devastated,27668,-3.7240302562713623,-3.724113941192627,0.0005478372077042865,-3.7248716354370117,-3.7233340740203857,0.0015375614166259766,0.0008413791656494141,0.0004317760467529297,-0.0015375614166259766,4,[31]
The situation is,casual_low_emotion,anyway,8668,-2.029893398284912,-2.029923439025879,0.0005389460286473871,-2.0306172370910645,-2.0291123390197754,0.0015048980712890625,0.0007810592651367188,0.00042057037353515625,-0.0015048980712890625,4,[31]
The situation is,casual_low_emotion,basically,8087,-1.264322280883789,-1.2643808126449585,0.0005328317739265326,-1.2650883197784424,-1.2635974884033203,0.0014908313751220703,0.0007660388946533203,0.0004209280014038086,-0.0014908313751220703,4,[31]
It seems to me that,casual_high_emotion,incredibly,9301,-6.71627140045166,-6.7163519859313965,0.0005206055159613264,-6.717072486877441,-6.715611457824707,0.001461029052734375,0.00080108642578125,0.0004105567932128906,-0.001461029052734375,4,[31]
The situation is,casual_low_emotion,whatever,5193,-7.154173851013184,-7.154188275337219,0.0005219254844953497,-7.154833793640137,-7.153386116027832,0.0014476776123046875,0.0007877349853515625,0.0004082918167114258,-0.0014476776123046875,4,[31]
My opinion on this is,formal_low_emotion,however,2480,0.27912041544914246,0.27903278172016144,0.00050679939762358,0.27832362055778503,0.27974581718444824,0.001422196626663208,0.0007967948913574219,0.00040033459663391113,-0.001422196626663208,4,[31]
The best approach would be,casual_low_emotion,okay,10989,-6.896633625030518,-6.89668881893158,0.0004868220591481069,-6.897335529327393,-6.8959736824035645,0.001361846923828125,0.000701904296875,0.0003851652145385742,-0.001361846923828125,4,[31]
The situation is,formal_high_emotion,profoundly,29160,-4.748347282409668,-4.748417854309082,0.00048161296555472577,-4.749082088470459,-4.747730255126953,0.0013518333435058594,0.0007348060607910156,0.0003790855407714844,-0.0013518333435058594,4,[31]
The best approach would be,casual_high_emotion,totally,7110,-3.873046875,-3.8730865716934204,0.0004833688564964391,-3.8737192153930664,-3.8723676204681396,0.0013515949249267578,0.0006792545318603516,0.00037932395935058594,-0.0013515949249267578,4,[31]
The best approach would be,casual_high_emotion,absolutely,6270,-4.405745506286621,-4.405776739120483,0.00048227847409174475,-4.406394958496094,-4.405050277709961,0.0013446807861328125,0.0006952285766601562,0.0003788471221923828,-0.0013446807861328125,4,[31]
It seems to me that,casual_low_emotion,basically,8087,-7.1927876472473145,-7.192838072776794,0.0004790033222895038,-7.193478584289551,-7.192136287689209,0.0013422966003417969,0.0006909370422363281,0.00037610530853271484,-0.0013422966003417969,4,[31]
The situation is,formal_low_emotion,moreover,541,2.6564278602600098,2.6563971638679504,0.0004716523751490695,2.6557912826538086,2.657106876373291,0.0013155937194824219,0.00067901611328125,0.00037020444869995117,-0.0013155937194824219,4,[31]
It seems to me that,casual_low_emotion,whatever,5193,-1.9219998121261597,-1.9220496714115143,0.00045881868748321846,-1.9226635694503784,-1.9213780164718628,0.001285552978515625,0.00066375732421875,0.00036075711250305176,-0.001285552978515625,4,[31]
